team_or_institution,references,fields_seen,files_seen,canonical_replacement,identical_school
Abilene Christian,26,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Air Force,12,current_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Akron,30,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Alabama,28,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Alabama A&M,21,committed_team;current_team;new_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Alabama St.,20,committed_team;current_team;new_team;previous_team,frontend_site/data/transferPlayers.ts,,Alabama State
Alabama State,12,committed_team;current_team;new_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Alabama St.
Alaska Anchorage,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Albany,29,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Alcorn St.,16,committed_team;current_team;new_team;previous_team,frontend_site/data/transferPlayers.ts,,Alcorn State
Alcorn State,8,current_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Alcorn St.
American,13,current_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
American Int'l,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Angelina College,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Angelo St.,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Appalachian St.,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,Appalachian State
Appalachian State,17,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Appalachian St.
Arizona,24,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Arizona St.,2,current_team;previous_team,frontend_site/data/transferPlayers.ts,,Arizona State
Arizona State,36,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Arizona St.
Arkansas,24,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Arkansas Pine Bluff,14,current_team;previous_team,frontend_site/data/transferPlayers.ts,,
Arkansas St.,4,current_team;previous_team,frontend_site/data/transferPlayers.ts,,Arkansas State
Arkansas State,23,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Arkansas St.
Arkansas-Little Rock,4,current_team,frontend_site/data/returningPlayers.ts,,
Arkansas-Pine Bluff,11,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Army,16,current_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Auburn,31,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Auburn Montgomery,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Augustana,4,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Austin Peay,29,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Ball St.,12,committed_team;current_team;new_team;previous_team,frontend_site/data/transferPlayers.ts,,Ball State
Ball State,27,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Ball St.
Barry,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Barry University,4,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Baylor,26,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Bellarmine,19,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Belmont,25,committed_team;current_team;new_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Benedictine Mesa,2,committed_team;new_team,frontend_site/data/transferPlayers.ts,,
Bethune Cookman,22,committed_team;current_team;new_team;previous_team,frontend_site/data/transferPlayers.ts,,Bethune-Cookman
Bethune-Cookman,15,committed_team;current_team;new_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,Bethune Cookman
Binghamton,21,committed_team;current_team;new_team;previous_team,frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Boise State,20,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
Boston College,43,committed_team;current_team;new_team;previous_team,frontend_site/data/hsRecruits.ts;frontend_site/data/returningPlayers.ts;frontend_site/data/transferPlayers.ts,,
