"TeamId","Team","Conference","IdHash","Athletes[0] Id","Athletes[0] Name","Athletes[1] Id","Athletes[1] Name","Athletes[2] Id","Athletes[2] Name","Athletes[3] Id","Athletes[3] Name","Athletes[4] Id","Athletes[4] Name","TotalSeconds","Pace","OffenseRating","DefenseRating","NetRating","TeamStats Points","TeamStats Possessions","TeamStats Assists","TeamStats Steals","TeamStats Turnovers","TeamStats Blocks","TeamStats DefensiveRebounds","TeamStats OffensiveRebounds","TeamStats TrueShooting","TeamStats FieldGoals Made","TeamStats FieldGoals Attempted","TeamStats FieldGoals Pct","TeamStats FreeThrows Made","TeamStats FreeThrows Attempted","TeamStats FreeThrows Pct","TeamStats TwoPointers Made","TeamStats TwoPointers Attempted","TeamStats TwoPointers Pct","TeamStats TwoPointers TipIns Made","TeamStats TwoPointers TipIns Attempted","TeamStats TwoPointers TipIns Pct","TeamStats TwoPointers Dunks Made","TeamStats TwoPointers Dunks Attempted","TeamStats TwoPointers Dunks Pct","TeamStats TwoPointers Layups Made","TeamStats TwoPointers Layups Attempted","TeamStats TwoPointers Layups Pct","TeamStats TwoPointers Jumpers Made","TeamStats TwoPointers Jumpers Attempted","TeamStats TwoPointers Jumpers Pct","TeamStats ThreePointers Made","TeamStats ThreePointers Attempted","TeamStats ThreePointers Pct","TeamStats FourFactors EffectiveFieldGoalPct","TeamStats FourFactors TurnoverRatio","TeamStats FourFactors OffensiveReboundPct","TeamStats FourFactors FreeThrowRate","OpponentStats Points","OpponentStats Possessions","OpponentStats Assists","OpponentStats Steals","OpponentStats Turnovers","OpponentStats Blocks","OpponentStats DefensiveRebounds","OpponentStats OffensiveRebounds","OpponentStats TrueShooting","OpponentStats FieldGoals Made","OpponentStats FieldGoals Attempted","OpponentStats FieldGoals Pct","OpponentStats FreeThrows Made","OpponentStats FreeThrows Attempted","OpponentStats FreeThrows Pct","OpponentStats TwoPointers Made","OpponentStats TwoPointers Attempted","OpponentStats TwoPointers Pct","OpponentStats TwoPointers TipIns Made","OpponentStats TwoPointers TipIns Attempted","OpponentStats TwoPointers TipIns Pct","OpponentStats TwoPointers Dunks Made","OpponentStats TwoPointers Dunks Attempted","OpponentStats TwoPointers Dunks Pct","OpponentStats TwoPointers Layups Made","OpponentStats TwoPointers Layups Attempted","OpponentStats TwoPointers Layups Pct","OpponentStats TwoPointers Jumpers Made","OpponentStats TwoPointers Jumpers Attempted","OpponentStats TwoPointers Jumpers Pct","OpponentStats ThreePointers Made","OpponentStats ThreePointers Attempted","OpponentStats ThreePointers Pct","OpponentStats FourFactors EffectiveFieldGoalPct","OpponentStats FourFactors TurnoverRatio","OpponentStats FourFactors OffensiveReboundPct","OpponentStats FourFactors FreeThrowRate"
"16","Auburn","SEC","9-334-4154-7583-198110","9","Tahaad Pettiford","334","Keyshawn Hall","4154","KeShawn Murphy","7583","Kevin Overton","198110","Sebastian Williams-Adams","12332","59.2","145.5","129.8","15.6","416","286","68","35","39","20","111","64","55.8","136","311","43.7","105","140","75","97","193","50.3","12","18","66.7","12","14","85.7","44","96","45.8","29","65","44.6","39","118","33.1","50","0.14","57.7","45","418","322","76","27","55","32","125","46","62.2","142","287","49.5","83","111","74.8","91","162","56.2","7","12","58.3","11","12","91.7","43","70","61.4","30","68","44.1","51","125","40.8","58.4","0.17","36.2","38.7"
"16","Auburn","SEC","9-334-4154-7583-198094","9","Tahaad Pettiford","334","Keyshawn Hall","4154","KeShawn Murphy","7583","Kevin Overton","198094","Elyjah Freeman","10281","62.9","145.3","127","18.3","375","258","54","31","44","22","89","59","57.6","125","275","45.5","94","115","81.7","94","178","52.8","10","17","58.8","15","15","100","42","79","53.2","27","67","40.3","31","97","32","51.1","0.17","48","41.8","357","281","62","27","50","14","102","51","60.1","129","252","51.2","73","102","71.6","103","181","56.9","13","18","72.2","15","16","93.8","52","95","54.7","23","52","44.2","26","71","36.6","56.3","0.18","42.9","40.5"
"16","Auburn","SEC","9-334-7583-198094-198098","9","Tahaad Pettiford","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","9805","62.4","140.8","122.9","17.9","373","265","57","27","41","15","100","43","63.5","124","249","49.8","82","102","80.4","81","132","61.4","9","11","81.8","17","17","100","38","72","52.8","17","32","53.1","43","117","36.8","58.4","0.15","38.7","41","301","245","59","23","44","17","91","31","57.7","110","234","47","42","61","68.9","71","133","53.4","0","3","0","11","13","84.6","41","70","58.6","19","47","40.4","39","101","38.6","55.3","0.18","32.6","26.1"
"16","Auburn","SEC","9-4154-7583-198094-198110","9","Tahaad Pettiford","4154","KeShawn Murphy","7583","Kevin Overton","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","6434","58.9","130.6","129.6","1","205","157","27","18","25","12","61","37","51.8","71","168","42.3","49","68","72.1","57","106","53.8","4","6","66.7","8","9","88.9","32","61","52.5","13","30","43.3","14","62","22.6","46.4","0.16","60.7","40.5","206","159","40","14","25","19","60","30","56.3","74","160","46.3","37","52","71.2","53","100","53","2","3","66.7","12","14","85.7","30","51","58.8","9","32","28.1","21","60","35","52.8","0.16","48.4","32.5"
"16","Auburn","SEC","9-334-7583-198098-198110","9","Tahaad Pettiford","334","Keyshawn Hall","7583","Kevin Overton","198098","Filip Jović","198110","Sebastian Williams-Adams","6429","62","124.3","125.2","-0.9","220","177","30","16","27","7","70","37","57","80","168","47.6","34","57","59.6","54","102","52.9","5","7","71.4","7","7","100","29","59","49.2","13","29","44.8","26","66","39.4","55.4","0.15","35.9","33.9","194","155","35","14","28","8","62","29","53.4","65","156","41.7","44","58","75.9","45","90","50","2","3","66.7","6","8","75","26","45","57.8","11","34","32.4","20","66","30.3","48.1","0.18","46","37.2"
"16","Auburn","SEC","9-334-4154-198094-198110","9","Tahaad Pettiford","334","Keyshawn Hall","4154","KeShawn Murphy","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","4782","57.2","121.4","129.4","-8","153","126","20","16","24","6","53","29","52.9","49","120","40.8","43","56","76.8","37","84","44","6","9","66.7","5","5","100","22","43","51.2","4","27","14.8","12","36","33.3","45.8","0.19","47.5","46.7","132","102","18","20","21","12","40","20","53","41","107","38.3","34","40","85","25","64","39.1","2","4","50","2","2","100","13","33","39.4","8","25","32","16","43","37.2","45.8","0.21","33.3","37.4"
"16","Auburn","SEC","9-334-7583-198094-198110","9","Tahaad Pettiford","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","4505","59.4","129.5","132.7","-3.2","158","122","22","15","23","9","48","22","62.5","51","104","49","45","51","88.2","40","71","56.3","6","9","66.7","8","8","100","17","35","48.6","9","19","47.4","11","33","33.3","54.3","0.19","40.7","49","134","101","20","12","25","4","34","26","49.7","42","114","36.8","36","47","76.6","28","60","46.7","2","4","50","2","2","100","14","28","50","10","26","38.5","14","54","25.9","43","0.25","44.8","41.2"
"16","Auburn","SEC","9-7583-198094-198098-198110","9","Tahaad Pettiford","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","198110","Sebastian Williams-Adams","4138","60.3","125.8","133.3","-7.6","122","97","13","17","19","8","40","19","53.2","38","91","41.8","36","54","66.7","28","60","46.7","3","6","50","8","8","100","14","31","45.2","3","15","20","10","31","32.3","47.3","0.2","32.2","59.3","148","111","20","15","22","6","42","19","57.6","47","107","43.9","40","49","81.6","33","64","51.6","4","5","80","2","4","50","16","32","50","11","23","47.8","14","43","32.6","50.5","0.2","32.2","45.8"
"16","Auburn","SEC","9-334-198094-198098-198110","9","Tahaad Pettiford","334","Keyshawn Hall","198094","Elyjah Freeman","198098","Filip Jović","198110","Sebastian Williams-Adams","3786","57.7","140.2","157.5","-17.3","143","102","25","11","16","3","38","23","64.3","48","90","53.3","32","48","66.7","33","54","61.1","7","9","77.8","9","9","100","15","30","50","2","6","33.3","15","36","41.7","61.7","0.16","41.8","53.3","126","80","24","11","13","5","27","18","58","40","95","42.1","27","31","87.1","21","45","46.7","3","4","75","3","3","100","12","20","60","3","18","16.7","19","50","38","52.1","0.16","66.7","32.6"
"16","Auburn","SEC","334-7583-198094-198099-198110","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198099","Kaden Magwood","198110","Sebastian Williams-Adams","1742","60.6","122.9","130","-7.1","59","48","11","3","7","4","18","9","59.6","23","46","50","4","8","50","14","23","60.9","0","1","0","2","2","100","7","12","58.3","5","8","62.5","9","23","39.1","59.8","0.15","33.3","17.4","52","40","11","5","4","3","16","6","54.2","20","44","45.5","6","9","66.7","14","28","50","1","1","100","1","1","100","9","20","45","3","6","50","6","16","37.5","52.3","0.1","27.3","20.5"
