name,pos,age,school_club,height,weight,status,country,frontend_match_status,frontend_match_source,frontend_match_generated_file,frontend_match_player_name,frontend_match_current_team,frontend_match_new_team,frontend_match_player_id,frontend_match_personal_identifier,frontend_match_returning_bvt_pid,frontend_match_transfer_barttorvik_trid,frontend_match_name_score,frontend_match_team_score,frontend_match_notes
Darius Acuff,G,19,Arkansas,6-2,186 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Darius Acuff Jr.,Arkansas,,returning-137661,137661,137661,,100.0,100.0,
Michael Ajayi,F,22,Butler,6-7,228 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Michael Ajayi,Butler,,returning-78878,78878,78878,,100.0,100.0,
Nate Ament,F,19,Tennessee,6-10,211 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Nate Ament,Tennessee,,returning-134712,134712,134712,,100.0,100.0,
Mohammad Amini,F,21,Nancy Basket (France),6-7,176 lbs,International,Iran,unmatched,,,,,,,,,,69.0,17.1,
Christian Anderson,G,20,Texas Tech,6-1,180 lbs,Sophomore,United States,matched_exact_name_team,roster,returningPlayers.ts,Christian Anderson,Texas Tech,,returning-127700,127700,127700,,100.0,100.0,
Bassala Bagayoko,C,19,Bilbao Basket (Spain),6-9,210 lbs,International,Mali,unmatched,,,,,,,,,,57.1,34.5,
Chad Baker-Mazara,G-F,26,USC,6-7,172 lbs,Senior,Dominican Republic,matched_exact_name_team,roster,returningPlayers.ts,Chad Baker-Mazara,USC,,returning-72450,72450,72450,,100.0,100.0,
Pavle Bačko,F,18,Mega Superbet (Serbia),6-8,262 lbs,International,Serbia,unmatched,,,,,,,,,,66.7,23.1,
Tyler Bilodeau,F,22,UCLA,6-8,228 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Tyler Bilodeau,UCLA,,returning-77100,77100,77100,,100.0,100.0,
Nate Bittle,C,23,Oregon,7-0,210 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Nate Bittle,Oregon,,returning-75330,75330,75330,,100.0,100.0,
Cameron Boozer,F-C,18,Duke,6-8,253 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Cameron Boozer,Duke,,returning-134971,134971,134971,,100.0,100.0,
Kylan Boswell,G,21,Illinois,6-1,226 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Kylan Boswell,Illinois,,returning-76818,76818,76818,,100.0,100.0,
Jaden Bradley,G,22,Arizona,6-3,205 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Jaden Bradley,Arizona,,returning-77082,77082,77082,,100.0,100.0,
Trevon Brazile,F,23,Arkansas,6-10,226 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Trevon Brazile,Arkansas,,returning-75756,75756,75756,,100.0,100.0,
Maliq Brown,F,22,Duke,6-8,217 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Maliq Brown,Duke,,returning-77128,77128,77128,,100.0,100.0,
Mikel Brown Jr.,G,20,Louisville,6-5,180 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Mikel Brown Jr.,Louisville,,returning-134715,134715,134715,,100.0,100.0,
Brayden Burries,G,20,Arizona,6-4,215 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Brayden Burries,Arizona,,returning-133777,133777,133777,,100.0,100.0,
Cameron Carr,G,21,Baylor,6-5,184 lbs,Sophomore,United States,matched_exact_name_team,roster,returningPlayers.ts,Cameron Carr,Baylor,,returning-78279,78279,78279,,100.0,100.0,
Tre Carroll,C,23,Xavier,6-8,235 lbs,1,United States,matched_exact_name_team,roster,returningPlayers.ts,Tre Carroll,Xavier,,returning-74996,74996,74996,,100.0,100.0,
Rafael Castro,C,23,George Washington,6-9,224 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Rafael Castro,George Washington,,returning-75059,75059,75059,,100.0,100.0,
Chris Cenac Jr.,F-C,19,Houston,6-11,240 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Chris Cenac Jr,Houston,,returning-133882,133882,133882,,100.0,100.0,
Oscar Cluff,C,24,Purdue,6-11,250 lbs,Senior,Australia,matched_exact_name_team,roster,returningPlayers.ts,Oscar Cluff,Purdue,,returning-79380,79380,79380,,100.0,100.0,
Ryan Conwell,G,21,Louisville,6-4,215 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Ryan Conwell,Louisville,,returning-75878,75878,75878,,100.0,100.0,
Quadir Copeland,G,22,N.C. State,6-6,200 lbs,Senior,United States,matched_exact_name_team,transfer,transferPlayers.ts,Quadir Copeland,N.C. State,,transfer-723,76308,,76308,100.0,100.0,
Sergio De Larrea,G,20,Vallodolid (Spain),6-6,205 lbs,International,Spain,unmatched,,,,,,,,,,62.1,34.5,
Tucker DeVries,F,23,Indiana,6-7,215 lbs,1,United States,matched_exact_name_team,roster,returningPlayers.ts,Tucker DeVries,Indiana,,returning-75260,75260,75260,,100.0,100.0,
AJ Dybantsa,F,19,BYU,6-9,217 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,AJ Dybantsa,BYU,,returning-134465,134465,134465,,100.0,100.0,
Zuby Ejiofor,F-C,22,St. John's,6-8,245 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Zuby Ejiofor,St. John's,,returning-77145,77145,77145,,100.0,100.0,
Isaiah Evans,G,20,Duke,6-6,186 lbs,Sophomore,United States,matched_exact_name_team,roster,returningPlayers.ts,Isaiah Evans,Duke,,returning-126924,126924,126924,,100.0,100.0,
Francesco Ferrari,F,20,Virtus Bologna,6-7,198 lbs,International,Italy,unmatched,,,,,,,,,,62.5,31.6,
Kingston Flemings,G,19,Houston,6-3,183 lbs,Freshman,United States,matched_exact_name_team,roster,returningPlayers.ts,Kingston Flemings,Houston,,returning-133884,133884,133884,,100.0,100.0,
Marc-Owen Fodzo Dada,G,19,Nancy Basket (France),6-2,180 lbs,International,France,unmatched,,,,,,,,,,51.6,27.8,
Ja’Kobi Gillespie,G,22,Tennessee,6-0,182 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Ja'Kobi Gillespie,Tennessee,,returning-76218,76218,76218,,100.0,100.0,
Allen Graves,F,19,Santa Clara,6-8,226 lbs,Freshman,United States,matched_exact_name_team,transfer,transferPlayers.ts,Allen Graves,Santa Clara,,transfer-1312,126989,,126989,100.0,100.0,
Keyshawn Hall,F,23,Auburn,6-6,227 lbs,Senior,United States,matched_exact_name_team,transfer,transferPlayers.ts,Keyshawn Hall,Auburn,,transfer-1372,76060,,76060,100.0,100.0,
Jaden Henley,G,22,Grand Canyon,6-7,210 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Jaden Henley,Grand Canyon,,returning-76235,76235,76235,,100.0,100.0,
Graham Ike,F,23,Gonzaga,6-9,250 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Graham Ike,Gonzaga,,returning-72639,72639,72639,,100.0,100.0,
Vsevolod Ishchenko,G,21,Lokomotiv Kuban (Russia),6-8,218 lbs,International,Russia,unmatched,,,,,,,,,,53.3,29.4,
Joshua Jefferson,F,22,Iowa State,6-8,246 lbs,Senior,United States,matched_exact_name_team,roster,returningPlayers.ts,Joshua Jefferson,Iowa State,,returning-77391,77391,77391,,100.0,100.0,
