full_name,year,position,hs_year,hs_position,hs_height,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,hs_state_rank,hs_hometown_state,hs_school_fin
Dink Pate,2026,SG,2026,SG,6-8,80,210,4.0,95.0,109.0,15.0,6.0,NY,Providence
Tajh Ariza,2026,SF,2026,SF,6-9,81,200,5.0,98.85141457692532,33.0,11.0,2.0,MO,Oregon
Taylen Kinney,2026,PG,2026,PG,6-1,73,185,5.0,99.26851217579349,21.0,3.0,1.0,GA,Kansas
Davion Adkins,2026,C,2026,C,6-9,81,205,5.0,97.7496608507609,63.0,8.0,10.0,TX,Kansas
Austin Brown,2026,PF,2026,PF,6-8,80,210,4.0,89.97054886211514,226.0,33.0,14.0,TX,Maryland
Prince-Alexander Moody,2026,CG,2026,CG,6-4,76,180,4.0,94.85839903650276,111.0,12.0,4.0,MD,Indiana
Brayden Fogle,2026,SF,2026,SF,6-4,76,250,,,,,,OH,Georgia
Joe Philon,2026,PF,2026,PF,6-8,80,180,5.0,97.89678222365494,57.0,10.0,9.0,FL,UCLA
EJ Hazelett,2026,SF,2026,SF,6-6,78,180,3.0,86.66666666666667,284.0,74.0,6.0,IL,Indiana State
Navon Shabazz,2026,CG,2026,CG,6-3,75,170,3.0,86.0,292.0,32.0,7.0,IA,Murray State
Junior County,2026,SG,2026,SG,6-4,76,180,5.0,98.5235926985534,39.0,7.0,2.0,UT,UConn
Luke Ertel,2026,PG,2026,PG,6-1,73,170,5.0,98.4344512945875,45.0,4.0,1.0,IN,Purdue
Andrew Jensen,2026,PF,2026,PF,6-9,81,205,,,,,,WI,DePaul
Nate Earl,2026,CG,2026,CG,6-0,72,165,3.0,80.0,365.0,43.0,43.0,FL,
Willie Piggott,2026,CG,2026,CG,6-5,77,-,,,,,,FL,
Wisdom Fode,2026,CG,2026,CG,6-2,74,190,,,,,,IA,
Darius Bivins,2026,PG,2026,PG,5-11,71,160,5.0,97.68715889197817,66.0,6.0,4.0,VA,Saint Mary's
Noah George,2026,CG,2026,CG,6-4,76,170,,,,,,AZ,Northern Arizona
Cameron Elwer,2026,PG,2026,PG,6-0,72,170,3.0,83.0,332.0,54.0,11.0,OH,Furman
James Turner,2026,PF,2026,PF,6-7,79,195,,,,,,KY,
Darius McGlashen,2026,PG,2026,PG,6-3,75,-,,,,,,NC,
Colin Rice,2026,SF,2026,SF,6-7,79,180,5.0,97.08730126750032,85.0,31.0,2.0,IA,Nebraska
Josh Kori,2026,SG,2026,SG,6-4,76,180,3.0,81.0,355.0,63.0,11.0,MO,Kansas City
Javonte Floyd,2026,C,2026,C,6-9,81,220,4.0,92.04819277108433,160.0,32.0,8.0,GA,UCLA
Jason Singleton,2026,CG,2026,CG,6-4,76,175,4.0,91.30388219544847,173.0,21.0,8.0,OH,Harvard
Jyi Dawkins,2026,SG,2026,SG,6-3,75,175,3.0,85.0,304.0,54.0,15.0,NC,Wofford
Kingston Whitty,2026,PG,2026,PG,6-2,74,165,4.0,90.29183400267738,210.0,27.0,9.0,NC,NC State
Xavier Blake,2026,SG,2026,SG,6-4,76,170,4.0,90.81793842034806,195.0,29.0,2.0,PA,Hofstra
Rider Portela,2026,SF,2026,SF,6-6,78,175,4.0,95.2558729902889,105.0,39.0,10.0,AZ,Colorado
Josue Bwabwa,2026,C,2026,C,6-9,81,-,,,,,,FL,
Jacob Miller,2026,SF,2026,SF,6-7,79,240,,,,,,MO,
Zion Ibekwe,2026,SF,2026,SF,6-5,77,185,,,,,,TX,Hampton
Drew Haffner,2026,SG,2026,SG,6-4,76,170,,,,,,IN,Abilene Christian
Brady Macadams,2026,SG,2026,SG,6-5,77,205,,,,,,PA,Marist
Jaden Shoultz,2026,CG,2026,CG,6-4,76,175,,,,,,MD,Richmond
Donovan Waleskowski,2026,PG,2026,PG,6-5,77,205,,,,,,OH,South Florida
