number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
0,1.9025701749140862,1.5599452033620265,64,7,1311,10.401663679887308,0.10260217747726169,1,244,1.5601864044243652,321,0.5947860322076509,1.4781136122663645,0.34885359886709566,1.9025701749140862,0.546272960048826,1.9413436459073212,COMPLETE
1,1.895004022454879,5.247564316322379,128,4,2548,2.0492680115417348,0.009818447719078614,12,123,3.0424224295953772,692,0.6075095758935384,1.4817794748240296,0.35402226680674875,1.895004022454879,0.5558646005410811,1.924257116007516,COMPLETE
2,1.8862545099707717,0.46450412719997725,254,4,1531,7.475992999956503,0.060628760975110135,39,212,5.924145688620425,99,0.6107397542551417,1.4756159415445953,0.3599736443645808,1.8862545099707717,0.5519702238958459,1.9180104594492027,COMPLETE
3,1.905846697559395,4.951769101112702,64,7,1122,5.595074635794794,0.006819902315213207,13,154,1.2203823484477883,664,0.6010813555808291,1.4898907478720693,0.34660891631789204,1.905846697559395,0.5503650426198363,1.9362369330549984,COMPLETE
4,1.8878076543141549,8.948273504276488,64,8,1776,20.74566765675251,0.008997217140167088,2,115,9.394989415641891,1034,0.6119498657544505,1.4775073916434625,0.35891921341585054,1.8878076543141549,0.5588000743220864,1.915594525084835,COMPLETE
5,1.8945996499205022,5.426960831582485,254,7,1349,4.037506188440754,0.011843743366810626,31,89,2.8093450968738076,452,0.6074881037924987,1.4814685535117822,0.3542979261507785,1.8945996499205022,0.5531154359553815,1.924125888684192,COMPLETE
6,1.8737933368978041,0.7404465173409036,128,7,314,17.320535358459537,0.06675426755440242,14,62,7.712703466859457,135,0.6174869469195237,1.465399806798821,0.36840213046949843,1.8737933368978041,0.5628768290205527,1.9042315578903732,COMPLETE
7,1.8877194061303288,4.722149251619493,128,7,1139,12.111307195599325,0.0140537324396345,31,149,8.872127425763265,678,0.6113738192088864,1.4778736009504254,0.358979148433756,1.8877194061303288,0.5551596175815596,1.9169695977190089,COMPLETE
8,1.9155144771828214,6.364104112637804,128,3,1711,1.5251209898002924,0.01945659881967145,17,201,0.3142918568673425,197,0.5959534755986403,1.4963044555741394,0.33996319531844155,1.9155144771828214,0.5568797058441189,1.94675657737612,COMPLETE
9,1.8891575217836616,8.08120379564417,64,4,917,1.8789279685460507,0.006385847474975015,36,158,9.29697652342573,915,0.6135906241564572,1.4819687256952436,0.3580020823851766,1.8891575217836616,0.5576775633402906,1.917603641732003,COMPLETE
10,1.8865692367930698,3.0056482304934593,32,5,379,38.364834250811505,0.029532641708913645,21,60,6.400885024675562,337,0.6125127953099831,1.4774181958188526,0.359760046183743,1.8865692367930698,0.5547744114399836,1.914124158780621,COMPLETE
11,1.8921857942189364,0.20682235273063831,254,5,317,20.89649231587225,0.07006080180376946,40,249,6.303395904507153,129,0.6108694668937731,1.4818379594591986,0.35594221942229,1.8921857942189364,0.557558799664221,1.9212934350470365,COMPLETE
12,1.8856564760058245,0.2761485859973002,254,5,2693,7.8828000047974305,0.04345692574259822,24,51,6.31258033234941,201,0.613985372519475,1.4748257396504116,0.3603794186869568,1.8856564760058245,0.5582466953096896,1.9145105726228788,COMPLETE
13,1.8867324672901573,2.446882926449421,32,6,2990,49.87544765589413,0.03912960904080459,23,53,7.395701202483117,297,0.6108933681307488,1.4736965899992946,0.35964925119677604,1.8867324672901573,0.5529597521642269,1.915732141374786,COMPLETE
14,1.8907575937282606,1.6160709467482945,254,8,2236,17.947623213558582,0.041248489086706794,8,87,4.478950506277894,221,0.6088649566954941,1.4766679666454148,0.3569141075923138,1.8907575937282606,0.5581464082031686,1.9196695930952272,COMPLETE
15,1.8963203009245395,3.3654657910028103,128,6,2180,4.31893735076691,0.11890822753742596,25,77,7.8103864413696,71,0.6044030478963921,1.48272328692914,0.3531245569565534,1.8963203009245395,0.5531389533606583,1.9251272016808185,COMPLETE
16,1.894846531383789,0.12323750288733773,128,6,672,3.107530893578694,0.06263578652226194,28,52,4.816563701627078,81,0.6075687107859278,1.4851361140516839,0.3541296349139825,1.894846531383789,0.5532986375333662,1.9246073696993493,COMPLETE
17,1.8891514956507325,1.3711557989006766,254,5,2926,11.544558583144676,0.021735357075587963,16,110,7.693611282227549,347,0.6117867399503615,1.4792649324091562,0.35800617813534763,1.8891514956507325,0.5575114997186091,1.9173624987814033,COMPLETE
18,1.8890170774641268,3.7718822932430944,32,3,2271,27.564904897207178,0.041750785467481524,8,77,4.746409276897871,258,0.6104624693549855,1.4758111035825627,0.35809753404350275,1.8890170774641268,0.5534898163875729,1.918285788120983,COMPLETE
19,1.8912855879350987,2.2599263354202037,254,8,1919,7.502616622729741,0.08685830911163997,19,101,8.169232171205365,71,0.6127046584295113,1.4847276366726698,0.35655489387196326,1.8912855879350987,0.5585811606199975,1.917200819601503,COMPLETE
20,1.8856707012747886,1.0510868543684286,128,6,713,1.1306851818698709,0.030250514895079614,26,65,9.948365069116806,304,0.6119899475868578,1.4755954851395312,0.36036976813900146,1.8856707012747886,0.5547223746266688,1.9143162830553717,COMPLETE
21,1.8835722952511977,1.1773881240111972,128,6,605,2.8380198073184637,0.03010160790321558,27,68,9.734291410284918,318,0.6134373389648244,1.4745738465936922,0.3617925585731566,1.8835722952511977,0.5600959473161213,1.9124131925971715,COMPLETE
22,1.894177765826177,0.8358516475938826,128,5,648,3.33023313193986,0.05317367206617969,30,72,7.128523010634803,180,0.6067883882843768,1.481956260739562,0.3545854603585856,1.894177765826177,0.5539718361991789,1.9232055349117596,COMPLETE
23,1.8843153002293895,2.14992335312306,128,6,548,7.361698102084363,0.027464585051769772,33,94,8.665846744276404,296,0.6138642785665533,1.4760614666289729,0.36128895716275455,1.8843153002293895,0.5594660375390662,1.9117686353508117,COMPLETE
24,1.8816578857856134,2.3685947463343995,128,6,497,15.476895945475865,0.02301353541364351,35,137,8.551300151218852,376,0.6150797769063256,1.4743160521722922,0.36308921118735393,1.8816578857856134,0.5595262942795307,1.9110778343292767,COMPLETE
25,1.8845151992217108,3.837775101074799,128,7,899,14.254742602805168,0.016746664456672267,35,127,8.496926451169102,487,0.6143660712790487,1.4757318510762278,0.36115343370102415,1.8845151992217108,0.5602975459988865,1.9127307939105138,COMPLETE
26,1.8849354827348543,2.6743198099033028,128,6,503,28.411141794267834,0.022037375724560385,35,173,9.63015536561211,431,0.6135527905683091,1.4772441625804755,0.360868451526995,1.8849354827348543,0.5570751303301603,1.912143179377096,COMPLETE
27,1.885094177414064,1.8659967840039622,128,7,831,15.667845391202622,0.029381433748287635,6,131,7.091800034253321,222,0.6128986823713235,1.4740767828899484,0.36076082869682435,1.885094177414064,0.5557179211956258,1.9148395837945325,COMPLETE
