number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse,state
0,1.9504660094531514,1.5599452033620265,64,7,1311,10.401663679887308,0.10260217747726169,1,244,1.5601864044243652,36,0.6011153598107268,1.5160178655139762,0.3318851244492105,1.927200647012952,-0.05055770848108234,1.9504660094531514,COMPLETE
1,1.9425423490865963,5.247564316322379,128,4,2548,2.0492680115417348,0.009818447719078614,12,123,3.0424224295953772,461,0.607282671810593,1.5175753452193466,0.33534658619063085,1.9222018104146694,-0.0464327170177966,1.9425423490865963,COMPLETE
2,1.9379471210924344,0.46450412719997725,254,4,1531,7.475992999956503,0.060628760975110135,39,212,5.924145688620425,155,0.60899758362225,1.5136737789663701,0.3386141797301011,1.9174709892001112,-0.03144929301925939,1.9379471210924344,COMPLETE
3,1.9514980638044,4.951769101112702,64,7,1122,5.595074635794794,0.006819902315213207,13,154,1.2203823484477883,1084,0.5991834095975306,1.515885944552303,0.33028643774588395,1.9295050031128824,-0.039935303321281125,1.9514980638044,COMPLETE
4,1.9294030476766655,8.948273504276488,64,8,1776,20.74566765675251,0.008997217140167088,2,115,9.394989415641891,1002,0.6141243734195387,1.5093235658360196,0.34338787216203603,1.9105385807428772,-0.033005457952347654,1.9294030476766655,COMPLETE
5,1.9405083217690273,5.426960831582485,254,7,1349,4.037506188440754,0.011843743366810626,31,89,2.8093450968738076,592,0.6062290992236951,1.5090770798204913,0.3372428889803327,1.9194577635099337,-0.04045886079111843,1.9405083217690273,COMPLETE
6,1.927790435733428,0.7404465173409036,128,7,314,17.320535358459537,0.06675426755440242,14,62,7.712703466859457,128,0.6117624245928474,1.503227635722008,0.3460270253702008,1.906695154302205,-0.03260270993367352,1.927790435733428,COMPLETE
7,1.9275572742949596,4.722149251619493,128,7,1139,12.111307195599325,0.0140537324396345,31,149,8.872127425763265,545,0.6142841542449966,1.5078432718700676,0.3447426477096176,1.9085665737197754,-0.0345888185942188,1.9275572742949596,COMPLETE
8,1.9640150492635413,6.364104112637804,128,3,1711,1.5251209898002924,0.01945659881967145,17,201,0.3142918568673425,206,0.5960173825234174,1.530287031029046,0.32123124162542216,1.9425056225222814,-0.0361544989437693,1.9640150492635413,COMPLETE
9,1.9355753764467107,8.08120379564417,64,4,917,1.8789279685460507,0.006385847474975015,36,158,9.29697652342573,913,0.6129371943830266,1.5177108769860959,0.3387523156364046,1.91727073889508,-0.04499694355782688,1.9355753764467107,COMPLETE
10,1.9328290548011227,3.0056482304934593,32,5,2869,38.364834250811505,0.029532641708913645,26,176,5.49383673842898,238,0.611980012816979,1.5074915122593209,0.34124637801986135,1.91365158800827,-0.03728688816335756,1.9328290548011227,COMPLETE
11,1.9313557471643352,3.138229429498474,128,6,332,19.16305543040227,0.032823703809520106,23,54,7.597115089101738,258,0.611077968828679,1.5081326380958608,0.3425139569462925,1.9118095697191526,-0.04740981491161869,1.9313557471643352,COMPLETE
12,1.943354704628607,2.7448497328248105,128,8,313,14.842327226973238,0.09726891209557789,21,53,7.426791663895562,102,0.6041217679299107,1.5105729809715507,0.3361560329103558,1.9210309791777678,-0.025407612214247574,1.943354704628607,COMPLETE
13,1.927634060595589,0.25549494810543205,128,6,755,49.87544765589413,0.0434679631482705,7,95,7.755791598286225,211,0.6139333202550031,1.5046346180060017,0.34588511137282896,1.906902022218528,-0.04149331602400739,1.927634060595589,COMPLETE
14,1.9293986506750496,7.121672796164707,32,6,809,49.22695681401975,0.021062884898543178,7,114,9.987411002900107,576,0.6127398164278899,1.5057827698629371,0.34406586416676754,1.909551952277584,-0.038876262588078817,1.9293986506750496,COMPLETE
15,1.9284676338994522,9.826861567778044,128,6,2095,28.325268581733432,0.04276397390592477,30,89,6.072794221898668,182,0.6130683155218353,1.5015098366219488,0.34533612530321145,1.9077020675192211,-0.03980215047283551,1.9284676338994522,COMPLETE
16,1.9337061787339354,1.8303300285044033,128,5,695,3.3174290841267626,0.01577757600859977,6,141,8.40537191728312,532,0.6091759503692689,1.5076338789925867,0.34178763808642887,1.91286525758085,-0.044530918637397686,1.9337061787339354,COMPLETE
17,1.9373093462676023,4.360998335722802,128,5,667,9.955194947742342,0.04735724525202231,34,85,4.784122464803559,199,0.6080006632931098,1.5075543893804977,0.33978966349577844,1.9157662668337037,-0.041538713479213354,1.9373093462676023,COMPLETE
18,1.9266126313197025,3.491039673293,32,8,1067,1.0087809489386512,0.030266185956395842,19,182,7.0474414073178995,399,0.6114990765249605,1.4965891648511458,0.34555527259895025,1.9073827412527167,-0.0417914829521701,1.9266126313197025,COMPLETE
19,1.9145886379004529,3.9649735940378683,32,8,2096,1.1841233564886846,0.02315016715622687,27,188,6.683012405492735,513,0.6161698357914288,1.4931489769585666,0.3535658806093167,1.8956733187275445,-0.04533691768244925,1.9145886379004529,COMPLETE
20,1.921670803135115,3.7573333495138153,32,8,2153,1.0091798908370826,0.025921933010473075,20,191,4.187424369325127,544,0.6117550803675973,1.4906644795131356,0.3510131818443828,1.8994125358799256,-0.028792914335627872,1.921670803135115,COMPLETE
21,1.9234618962170147,3.880683551683649,32,8,2105,1.0503203396609169,0.025993481793707997,19,191,4.299745589163552,553,0.6092187091657476,1.4879214697933807,0.3500209746306162,1.9008639452097575,-0.018121723016824954,1.9234618962170147,COMPLETE
22,1.9198565302079142,4.0492996115331135,32,8,2212,1.1925649890366532,0.02273590743475331,25,222,4.145784032317218,740,0.609981882623669,1.4944222950101376,0.35153363924712944,1.8986507626338982,-0.04205747992933177,1.9198565302079142,COMPLETE
23,1.918538267226499,6.266003019192558,32,8,2296,1.4173216421195758,0.021015166273964266,26,224,3.774948436325288,469,0.6141804179031338,1.4898927709175283,0.35266560338978714,1.8969928945883854,-0.028151317700708004,1.918538267226499,COMPLETE
24,1.9313441638816404,6.346058822963422,32,8,2478,2.875397102515948,0.01871305706283054,25,231,3.098325843334469,410,0.6097882653909118,1.5031263283806258,0.3428249716807974,1.9113573386143103,-0.026623100001003725,1.9313441638816404,COMPLETE
25,1.9289355176117078,6.608029742447384,32,8,2397,1.4961229208429938,0.014261075059763073,28,221,3.6490093538715507,457,0.6110532204577356,1.5020285081810982,0.34459171060588134,1.9087863781390255,-0.040908128373354294,1.9289355176117078,COMPLETE
26,1.9303981586710441,5.796423904924554,32,7,2866,2.34552606795597,0.005004166770303374,25,238,2.040304534073073,2865,0.6088338121625191,1.4972302358264882,0.34417363458898365,1.9093950754948525,-0.04901438231370161,1.9303981586710441,COMPLETE
27,1.9217059018189926,7.536263224733496,32,8,1874,1.3937859914111488,0.02210887284758308,34,209,6.561820315515188,619,0.6135974178400582,1.4916032044539798,0.34971723065866567,1.9013080430222895,-0.024041103306794934,1.9217059018189926,COMPLETE
28,1.9216078978135451,2.245704205776401,32,7,2223,1.3833686993995598,0.03614835485306113,27,225,5.207119844955041,360,0.6156039516569232,1.4926839947490929,0.34938397078297667,1.9017951761214373,-0.023216921355749688,1.9216078978135451,COMPLETE
29,1.945560920205815,1.4658915616410604,254,7,2662,2.525641801558835,0.017485910889514657,23,250,2.1182213416699267,264,0.6040720046720027,1.5148184685017774,0.3338389601398887,1.9243806302112456,-0.03774989449028428,1.945560920205815,COMPLETE
30,1.9205748759403436,4.278494529323224,32,8,1932,3.7099749731569527,0.01189794335662656,29,175,3.8746417435514857,1471,0.612317630326874,1.490674137218953,0.35158275148193074,1.8985788631852076,-0.03644559404338487,1.9205748759403436,COMPLETE
31,1.916648483351334,4.237172284612817,32,8,1883,3.8888698952479914,0.012398248201062941,30,172,3.7789016427099096,1714,0.6122530349263137,1.481642366923745,0.35494462122000947,1.8936506556139607,-0.039351252089571194,1.916648483351334,COMPLETE
32,1.9232153932049967,5.72683142121279,32,8,2234,1.8847396263577185,0.010353673820401829,23,168,4.733415924540234,1623,0.6092869189092198,1.490260366364929,0.34951668333695296,1.9016012022907398,-0.04345637289352905,1.9232153932049967,COMPLETE
33,1.9210932173701887,4.499121953831895,32,8,1584,6.8885353677960275,0.024255680471848784,33,206,3.3336499842680634,941,0.6100724624640225,1.489591103602507,0.3518623886209049,1.8981694274279644,-0.035885312067488795,1.9210932173701887,COMPLETE
34,1.9262215378170948,5.186917814171977,32,7,2639,5.002006719598048,0.016543526963611322,28,194,2.7168900129047344,1378,0.608002119818852,1.48855413163667,0.34927020275593224,1.9019614447174313,-0.056176290781948406,1.9262215378170948,COMPLETE
35,1.9439119234355977,2.5437883798354903,254,8,1979,1.2797842796997148,0.0077801447144676015,38,221,1.0878553743402577,1231,0.6011090396949164,1.503081415303116,0.3365245311712869,1.920497725224025,-0.03963610716407485,1.9439119234355977,COMPLETE
36,1.9283553297059324,3.467052702713052,64,7,2335,1.9188107617404044,0.012298948732083259,32,235,6.223383254772284,647,0.61266152102366,1.5040306494411693,0.34442407671041575,1.909030467849066,-0.03372672615330425,1.9283553297059324,COMPLETE
37,1.9339693694655697,8.085198700126359,32,8,1598,4.822897942573943,0.008646663514792685,40,132,2.249534806401904,1168,0.6076882280053787,1.507155724439856,0.3410730792128336,1.9139032843316768,-0.04351466919476823,1.9339693694655697,COMPLETE
38,1.9231083579518518,5.0044910084452905,32,7,1461,2.4351066971802626,0.014628094325551691,16,211,5.499175678957921,967,0.6139931031299664,1.4983851911378336,0.348226425426875,1.9034862164451956,-0.05687334155491094,1.9231083579518518,COMPLETE
39,1.9308250515616228,5.862950469536462,254,8,2576,1.646639743842519,0.037214935118039305,36,161,4.791292305198244,638,0.6019927161344275,1.4891312366954481,0.3469201092144092,1.905392791312772,-0.013448713935332103,1.9308250515616228,COMPLETE
40,1.9554000740908641,1.1500456735419653,64,7,1729,7.1270389931415945,0.06299672720586627,24,199,1.4726347389626095,184,0.5975297560494983,1.5188025805290062,0.3271519119296157,1.9340151573337299,-0.03761881576725612,1.9554000740908641,COMPLETE
41,1.9260977886973623,4.1717418899491685,32,8,1928,3.4357843139551623,0.012296790514790275,30,178,3.819756980088169,631,0.6137726255907628,1.504179457266901,0.3456088274168897,1.9073046967509857,-0.0319778445105759,1.9260977886973623,COMPLETE
42,1.923094868464418,4.6721803297097395,32,8,1961,1.249958149229734,0.010675808841465573,29,169,3.962197503675334,1308,0.6100474614009036,1.490987974943738,0.3501194539714416,1.9007199383171218,-0.05043064600412703,1.923094868464418,COMPLETE
43,1.941528676467124,4.225629072424033,32,3,1816,3.9982895107871044,0.019879095777483202,27,185,2.652846826736361,281,0.6068007593595911,1.5140719002029515,0.3359664879925025,1.9213052120467276,-0.04225631592662027,1.941528676467124,COMPLETE
44,1.9316346754251126,5.352908721532081,32,8,2318,3.1127001363981863,0.02333910169652127,22,152,3.39699750168841,238,0.6127694992397161,1.5069319025329693,0.3427053121364567,1.9115313422877833,-0.034787627513325294,1.9316346754251126,COMPLETE
45,1.9246659279553393,3.1879625801835014,32,8,2035,9.838069725670106,0.012575687045827642,31,171,4.324021837488569,672,0.6137153703738529,1.5026547874807543,0.347100490367967,1.905129637684752,-0.04045885215002751,1.9246659279553393,COMPLETE
46,1.9220585600599371,2.4379151859743327,32,7,1386,2.1410956420493963,0.010653417908705132,26,216,5.390996848126205,1121,0.6147773003726482,1.4951878496575353,0.34926327788691436,1.9019715647387503,-0.035522004228006956,1.9220585600599371,COMPLETE
47,1.933282624938871,3.751955966510955,32,8,2767,5.636391639710748,0.006594396846146033,35,141,0.8066342057852642,2316,0.6057517667254688,1.4971858513482474,0.34274591991900716,1.9114722940028606,-0.043168102394353224,1.933282624938871,COMPLETE
48,1.9335904582443593,4.693374027817718,64,7,2458,1.200043428338293,0.02938527394476142,29,242,6.621029483357986,271,0.6093791108130724,1.5080800143989688,0.34132778085079496,1.9135333484539416,-0.05328108439951375,1.9335904582443593,COMPLETE
49,1.9326837711536125,2.8295128785852386,254,8,1704,4.062627615260269,0.008705030300037877,32,202,4.55172052653636,843,0.6099255893359687,1.5042162009545081,0.34254278854101483,1.9117676516255504,-0.033215651320146276,1.9326837711536125,COMPLETE
50,1.9201948583752215,6.84100134459801,32,8,2201,1.6570640344748628,0.017454579920516196,25,159,5.796338677434357,1022,0.6101029467716058,1.4880537231586353,0.35207870406440334,1.8978526446802273,-0.02430346278233664,1.9201948583752215,COMPLETE
51,1.921414555715148,7.5752049218906805,32,8,2225,1.6140393613473107,0.017227033412644355,26,146,5.797224589747371,725,0.613505796031632,1.493377572576385,0.3496111181460777,1.9014631634970927,-0.025044469617621006,1.921414555715148,COMPLETE
52,1.925341369036232,8.833141649765155,32,8,2081,1.6395997016536568,0.020824340800738972,21,164,5.017061613099136,890,0.6066943727285713,1.4913896094788703,0.34862249517013155,1.9029077733356778,-0.046085390204619964,1.925341369036232,COMPLETE
53,1.9263564604003502,6.697664091843793,32,8,1831,1.144020729077012,0.013389212765072689,24,156,3.533614107728616,1232,0.6082827536029458,1.4892427225477267,0.3477633927253634,1.9041622333307315,-0.022108317536171443,1.9263564604003502,COMPLETE
54,1.9216279448328475,6.238266754426679,32,8,2278,2.7837412219356517,0.01562431633050626,29,184,8.341852766371902,1071,0.6110240876246674,1.4932447135002482,0.35052860172300193,1.9001215223979198,-0.03634062859696095,1.9216279448328475,COMPLETE
55,1.9155972537111108,4.030123843071093,32,7,2132,2.0246104349581744,0.026945949967353167,17,174,7.323453714235226,560,0.6155015242915041,1.4887173545905237,0.3536998677639438,1.8954768493354373,-0.027216078436732613,1.9155972537111108,COMPLETE
56,1.9207297579573799,7.134758405943848,32,7,2149,1.9901708124229511,0.027544305903276042,11,128,7.162872482849997,448,0.6127438067903402,1.492759070003281,0.35096398209213675,1.8994845318377063,-0.04081017382410303,1.9207297579573799,COMPLETE
57,1.9302168565441857,3.42692032709882,32,6,2441,1.7154040005738103,0.03239602562778342,16,228,6.509283457982271,636,0.6065637732735547,1.4981763075002252,0.345111057878565,1.908029964560453,-0.0508311588672758,1.9302168565441857,COMPLETE
58,1.935938701856797,2.04555404486958,64,6,2386,2.2594082542349554,0.08049465078296777,12,193,7.994870604672332,58,0.6123851968633043,1.5137212118262708,0.339750333555096,1.9158233288390707,-0.04332940792186165,1.935938701856797,COMPLETE
59,1.9193581714417294,3.889354368967325,32,7,2165,1.1282000365238536,0.051581105358103764,17,185,7.090870665636531,172,0.6180304165823128,1.4982343060910517,0.3497788877212423,1.9012179038909485,-0.02562508314494885,1.9193581714417294,COMPLETE
60,1.9270155875795716,3.8678799510348503,32,6,2053,1.0944450690601175,0.05163745068856636,19,216,8.776714011296464,319,0.609615724698548,1.4982528861622308,0.34528439114134435,1.907777443159806,-0.049224487206472656,1.9270155875795716,COMPLETE
61,1.9267076605263158,5.039706922687795,32,7,2169,1.4480140203585559,0.11065183376559087,14,179,6.901426855153353,53,0.6152492906299827,1.5065270454353308,0.3464127140509181,1.9061328228102588,-0.03873419715941198,1.9267076605263158,COMPLETE
62,1.9259434145409806,5.52572470870253,32,7,2563,1.3624368635431525,0.03643404004715739,22,188,7.401710898794159,289,0.6117316196397153,1.5002254181467927,0.3475708164113269,1.904443319578309,-0.040772779898436536,1.9259434145409806,COMPLETE
63,1.9213952932366372,3.0811916200898652,32,7,2336,1.161222660373101,0.05497235069373935,9,199,6.087594889015506,233,0.6125478796906955,1.494479921720757,0.3499331356621155,1.9009923834215623,-0.03304624148245877,1.9213952932366372,COMPLETE
64,1.9290224949551051,3.772789188938292,128,8,2023,1.8171054339475756,0.01795343466189713,17,161,7.832379507339686,477,0.6120614157301143,1.504432499344267,0.3438922766589506,1.9098046090755416,-0.044391707577076084,1.9290224949551051,COMPLETE
65,1.9224187346917943,4.085142330943345,32,7,2175,1.4712672144292878,0.07723352352791059,20,175,6.968949514192316,139,0.6138299064545105,1.4996980100862165,0.3492877033946358,1.9019358689992067,-0.03318074094866437,1.9224187346917943,COMPLETE
66,1.9252961783950042,6.061137421447262,32,8,1917,1.0119599715049794,0.024701269508371357,17,144,3.0612425496635827,756,0.6060973000983969,1.4842657089839306,0.35017380456640845,1.9006404564645474,-0.04945655453968134,1.9252961783950042,COMPLETE
67,1.9186264575480523,4.867169264638352,32,7,1685,2.7266648250289673,0.04132620953907441,25,166,5.703047620411413,402,0.6154689935255382,1.4925653673968196,0.351084601567334,1.8993080196974328,-0.05804656693629159,1.9186264575480523,COMPLETE
68,1.9308733572493926,4.819731962290488,32,6,1646,2.6606509341342344,0.042033228495424915,1,115,8.125466873766493,386,0.6104917907583087,1.5063237593466798,0.34231556692281107,1.9120979829428555,-0.057429297166116715,1.9308733572493926,COMPLETE
69,1.926913853733454,4.531854358847314,254,7,1782,3.0172323377123305,0.03920546581231211,27,250,6.368206214033239,384,0.60988749487091,1.4961807760454209,0.34803837375810964,1.903760796420273,-0.033388604040106434,1.926913853733454,COMPLETE
70,1.9209237374124608,3.4607931537402674,32,7,1235,2.13883912720096,0.032345839601760254,18,206,7.375010230593809,439,0.6141056746517767,1.4938978957140137,0.35083442482351823,1.899674105098091,-0.0355523656323347,1.9209237374124608,COMPLETE
