player_key,full_name,first_name,last_name,year,hs_school_fin,position,hs_year,hs_position,hs_height,hs_height_in,hs_weight,hs_stars,hs_rating,hs_national_rank,hs_position_rank,hs_state_rank,hs_hometown_state
46103857,Dink Pate,Dink,Pate,2026,Providence,SG,2026,SG,6-8,80,210,4.0,95.0,109.0,15.0,6.0,NY
46136634,Tajh Ariza,Tajh,Ariza,2026,Oregon,SF,2026,SF,6-9,81,200,5.0,98.85141457692532,33.0,11.0,2.0,MO
46140678,Taylen Kinney,Taylen,Kinney,2026,Kansas,PG,2026,PG,6-1,73,185,5.0,99.26851217579349,21.0,3.0,1.0,GA
46141110,Davion Adkins,Davion,Adkins,2026,Kansas,C,2026,C,6-9,81,205,5.0,97.7496608507609,63.0,8.0,10.0,TX
46142818,Austin Brown,Austin,Brown,2026,Maryland,PF,2026,PF,6-8,80,210,4.0,89.97054886211514,226.0,33.0,14.0,TX
46142864,Prince-Alexander Moody,Prince-Alexander,Moody,2026,Indiana,CG,2026,CG,6-4,76,180,4.0,94.85839903650276,111.0,12.0,4.0,MD
46143042,Brayden Fogle,Brayden,Fogle,2026,Georgia,SF,2026,SF,6-4,76,250,,,,,,OH
46143225,Joe Philon,Joe,Philon,2026,UCLA,PF,2026,PF,6-8,80,180,5.0,97.89678222365494,57.0,10.0,9.0,FL
46143259,EJ Hazelett,EJ,Hazelett,2026,Indiana State,SF,2026,SF,6-6,78,180,3.0,86.66666666666667,284.0,74.0,6.0,IL
46143338,Navon Shabazz,Navon,Shabazz,2026,Murray State,CG,2026,CG,6-3,75,170,3.0,86.0,292.0,32.0,7.0,IA
46143344,Junior County,Junior,County,2026,UConn,SG,2026,SG,6-4,76,180,5.0,98.5235926985534,39.0,7.0,2.0,UT
46143602,Luke Ertel,Luke,Ertel,2026,Purdue,PG,2026,PG,6-1,73,170,5.0,98.4344512945875,45.0,4.0,1.0,IN
46143658,Andrew Jensen,Andrew,Jensen,2026,DePaul,PF,2026,PF,6-9,81,205,,,,,,WI
46144802,Nate Earl,Nate,Earl,2026,,CG,2026,CG,6-0,72,165,3.0,80.0,365.0,43.0,43.0,FL
46145462,Willie Piggott,Willie,Piggott,2026,,CG,2026,CG,6-5,77,-,,,,,,FL
46147433,Wisdom Fode,Wisdom,Fode,2026,,CG,2026,CG,6-2,74,190,,,,,,IA
46148971,Darius Bivins,Darius,Bivins,2026,Saint Mary's,PG,2026,PG,5-11,71,160,5.0,97.68715889197817,66.0,6.0,4.0,VA
46149894,Noah George,Noah,George,2026,Northern Arizona,CG,2026,CG,6-4,76,170,,,,,,AZ
46150065,Cameron Elwer,Cameron,Elwer,2026,Furman,PG,2026,PG,6-0,72,170,3.0,83.0,332.0,54.0,11.0,OH
46151278,James Turner,James,Turner,2026,,PF,2026,PF,6-7,79,195,,,,,,KY
46152062,Darius McGlashen,Darius,McGlashen,2026,,PG,2026,PG,6-3,75,-,,,,,,NC
46152229,Colin Rice,Colin,Rice,2026,Nebraska,SF,2026,SF,6-7,79,180,5.0,97.08730126750032,85.0,31.0,2.0,IA
46155427,Josh Kori,Josh,Kori,2026,Kansas City,SG,2026,SG,6-4,76,180,3.0,81.0,355.0,63.0,11.0,MO
46158066,Javonte Floyd,Javonte,Floyd,2026,UCLA,C,2026,C,6-9,81,220,4.0,92.04819277108433,160.0,32.0,8.0,GA
46158098,Jason Singleton,Jason,Singleton,2026,Harvard,CG,2026,CG,6-4,76,175,4.0,91.30388219544847,173.0,21.0,8.0,OH
46158792,Jyi Dawkins,Jyi,Dawkins,2026,Wofford,SG,2026,SG,6-3,75,175,3.0,85.0,304.0,54.0,15.0,NC
46158894,Kingston Whitty,Kingston,Whitty,2026,NC State,PG,2026,PG,6-2,74,165,4.0,90.29183400267738,210.0,27.0,9.0,NC
46160222,Xavier Blake,Xavier,Blake,2026,Hofstra,SG,2026,SG,6-4,76,170,4.0,90.81793842034806,195.0,29.0,2.0,PA
46160450,Rider Portela,Rider,Portela,2026,Colorado,SF,2026,SF,6-6,78,175,4.0,95.2558729902889,105.0,39.0,10.0,AZ
46160776,Josue Bwabwa,Josue,Bwabwa,2026,,C,2026,C,6-9,81,-,,,,,,FL
46161790,Jacob Miller,Jacob,Miller,2026,,SF,2026,SF,6-7,79,240,,,,,,MO
46161814,Zion Ibekwe,Zion,Ibekwe,2026,Hampton,SF,2026,SF,6-5,77,185,,,,,,TX
46163079,Drew Haffner,Drew,Haffner,2026,Abilene Christian,SG,2026,SG,6-4,76,170,,,,,,IN
46163228,Brady Macadams,Brady,Macadams,2026,Marist,SG,2026,SG,6-5,77,205,,,,,,PA
46163785,Jaden Shoultz,Jaden,Shoultz,2026,Richmond,CG,2026,CG,6-4,76,175,,,,,,MD
46167036,Donovan Waleskowski,Donovan,Waleskowski,2026,South Florida,PG,2026,PG,6-5,77,205,,,,,,OH
46134994,Latrell Allmond,Latrell,Allmond,2026,Oklahoma State,PF,2026,PF,6-8,80,225,5.0,98.80686626103073,34.0,7.0,2.0,VA
46135648,RJ Livingston,RJ,Livingston,2026,Texas State,PG,2026,PG,6-2,74,160,4.0,92.06425702811244,120.0,15.0,1.0,FL
46136808,Chris Birden,Chris,Birden,2026,Miami,PF,2026,PF,6-8,80,190,,,,,,CT
46141065,Aidan Chronister,Aidan,Chronister,2026,Missouri,SF,2026,SF,6-7,79,180,4.0,93.89449884263922,139.0,46.0,3.0,AR
46142156,Gabe Weis,Gabe,Weis,2026,Western Kentucky,SF,2026,SF,6-6,78,170,4.0,89.96251673360108,228.0,65.0,7.0,IN
46142484,Kayden Allen,Kayden,Allen,2026,Georgia Tech,SF,2026,SF,6-5,77,205,5.0,97.47538649581604,73.0,28.0,5.0,FL
46142863,Anthony Brown,Anthony,Brown,2026,Vanderbilt,PG,2026,PG,6-1,73,160,5.0,97.33484663290845,79.0,9.0,1.0,DC
46142899,LaTrevion Fenderson,LaTrevion,Fenderson,2026,Wisconsin,SF,2026,SF,6-5,77,205,4.0,90.22289156626506,213.0,61.0,3.0,WI
46142915,Baba Oladotun,Baba,Oladotun,2026,Maryland,SF,2026,SF,6-10,82,195,5.0,99.67217812162808,9.0,4.0,1.0,MD
