feature,coefficient,abs_coefficient
cat__hs_school_fin_Duke,2.992671702116957,2.992671702116957
cat__hs_school_fin_Kentucky,2.6557478402526913,2.6557478402526913
cat__hs_school_fin_Gonzaga,1.942810874528657,1.942810874528657
cat__hs_school_fin_Chicago State,-1.9187073273763302,1.9187073273763302
cat__hs_school_fin_Central Arkansas,-1.7296162736859295,1.7296162736859295
cat__hs_school_fin_San Diego State,1.6389077203577052,1.6389077203577052
cat__hs_school_fin_Murray State,1.615198236960952,1.615198236960952
cat__hs_school_fin_Michigan,1.555652829891773,1.555652829891773
cat__hs_school_fin_West Virginia,1.5109631419856107,1.5109631419856107
cat__hs_school_fin_Arizona,1.4989083543237027,1.4989083543237027
cat__hs_school_fin_Iona,1.4484300477205612,1.4484300477205612
cat__hs_school_fin_Incarnate Word,-1.4387544902582627,1.4387544902582627
cat__hs_school_fin_Houston Christian,-1.4010871233875517,1.4010871233875517
cat__hs_school_fin_Kansas,1.345692267441644,1.345692267441644
cat__hs_school_fin_Coppin State,-1.3182590398809713,1.3182590398809713
cat__hs_school_fin_Louisville,1.3030349867848914,1.3030349867848914
cat__hs_school_fin_Southern Utah,-1.3020752998302416,1.3020752998302416
cat__hs_school_fin_Texas,1.2839142869968017,1.2839142869968017
cat__hs_school_fin_UMBC,-1.2798213302340975,1.2798213302340975
cat__hs_school_fin_Oregon,1.2656121239798506,1.2656121239798506
cat__hs_school_fin_Richmond,1.250402381460166,1.250402381460166
cat__hs_school_fin_Davidson,1.2437187178561866,1.2437187178561866
cat__hs_school_fin_St. Bonaventure,1.2426899019135544,1.2426899019135544
cat__hs_school_fin_Florida State,1.2225544379946383,1.2225544379946383
cat__hs_school_fin_Canisius,1.2192982831964467,1.2192982831964467
cat__hs_school_fin_UCLA,1.2119348825443266,1.2119348825443266
cat__hs_school_fin_Florida,1.1922410328717334,1.1922410328717334
cat__hs_school_fin_Ohio State,1.185652716416053,1.185652716416053
cat__hs_school_fin_Wisconsin,1.175088387587992,1.175088387587992
cat__hs_school_fin_IU Indy,-1.1670375744241985,1.1670375744241985
cat__hs_school_fin_Binghamton,-1.16338154661616,1.16338154661616
cat__hs_school_fin_Syracuse,1.1235928441829635,1.1235928441829635
cat__hs_school_fin_Boise State,1.120006705856489,1.120006705856489
cat__hs_school_fin_Central Connecticut State,-1.1130906584189686,1.1130906584189686
cat__hs_school_fin_East Tennessee State,1.1085170391678074,1.1085170391678074
cat__hs_school_fin_Houston,1.085550070229296,1.085550070229296
cat__hs_school_fin_Texas Tech,1.0720209482360892,1.0720209482360892
cat__hs_school_fin_Wichita State,1.0714778471306325,1.0714778471306325
cat__hs_school_fin_Lipscomb,-1.067578655642915,1.067578655642915
cat__hs_school_fin_Saint Francis (PA),-1.0673162616701926,1.0673162616701926
cat__hs_school_fin_Bryant,-1.0634930225800547,1.0634930225800547
cat__hs_school_fin_Manhattan,-1.0563989598944608,1.0563989598944608
cat__hs_school_fin_Prairie View A&M,-1.054803131597014,1.054803131597014
cat__hs_school_fin_Kennesaw State,-1.0522561041173333,1.0522561041173333
cat__hs_school_fin_Iowa,1.0353506144523617,1.0353506144523617
cat__hs_school_fin_Alcorn State,-1.034884060676685,1.034884060676685
cat__hs_school_fin_Florida A&M,-1.0305204275944302,1.0305204275944302
cat__hs_school_fin_Drexel,1.0287143210377179,1.0287143210377179
cat__hs_school_fin_North Dakota,-1.0272921610066519,1.0272921610066519
cat__hs_school_fin_San Jose State,-1.0164500432184338,1.0164500432184338
cat__hs_school_fin_Maine,-1.0073034585273652,1.0073034585273652
cat__hs_school_fin_Virginia,1.0068855051853125,1.0068855051853125
cat__hs_hometown_state_PORT,1.0056635057624825,1.0056635057624825
cat__hs_school_fin_Tennessee Tech,-1.0015779053412486,1.0015779053412486
cat__hs_hometown_state_UT,1.001553110145947,1.001553110145947
cat__hs_school_fin_Baylor,0.9906968108024161,0.9906968108024161
cat__hs_school_fin_None,-0.9820924353717502,0.9820924353717502
cat__hs_school_fin_Tennessee,0.9739383416495189,0.9739383416495189
cat__hs_school_fin_The Citadel,-0.9674911928799306,0.9674911928799306
cat__hs_school_fin_North Carolina,0.9507529557169215,0.9507529557169215
cat__hs_hometown_state_PUER,0.9449034232911465,0.9449034232911465
cat__hs_school_fin_New Orleans,-0.9402579873991598,0.9402579873991598
cat__hs_school_fin_Iowa State,0.9383224186183928,0.9383224186183928
cat__hs_school_fin_Norfolk State,-0.9319747479387779,0.9319747479387779
cat__hs_school_fin_Maryland,0.9216638472116168,0.9216638472116168
cat__hs_school_fin_McNeese,-0.9099356176953534,0.9099356176953534
cat__hs_school_fin_San Diego,-0.9092523159931953,0.9092523159931953
cat__hs_school_fin_Oklahoma,0.9003757653876138,0.9003757653876138
cat__hs_school_fin_Howard,-0.8612078356602592,0.8612078356602592
cat__hs_school_fin_Niagara,-0.8584099485958371,0.8584099485958371
cat__hs_school_fin_Butler,0.8582306263249099,0.8582306263249099
cat__hs_school_fin_Indiana,0.8513825309528303,0.8513825309528303
cat__hs_school_fin_Seattle,-0.8508033025783639,0.8508033025783639
cat__hs_school_fin_Northern Illinois,-0.8501812367612895,0.8501812367612895
cat__hs_school_fin_Sacred Heart,-0.8489229036823093,0.8489229036823093
cat__hs_school_fin_Idaho,0.8362821898555232,0.8362821898555232
cat__hs_school_fin_Abilene Christian,-0.8327666831133738,0.8327666831133738
cat__hs_school_fin_Alabama,0.8289600876188945,0.8289600876188945
cat__hs_school_fin_Presbyterian,-0.8286573153706883,0.8286573153706883
cat__hs_school_fin_Louisiana Tech,0.8274199488225744,0.8274199488225744
cat__hs_hometown_state_NEW ,-0.819491863820134,0.819491863820134
cat__hs_school_fin_Michigan State,0.8186139650502552,0.8186139650502552
num__hs_stars,0.8174750958345515,0.8174750958345515
