number,value,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_eta,params_gamma,params_lambda,params_max_bin,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_best_iteration,user_attrs_best_score_xgb,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse,state
0,2.0711747215593705,12.022300234864176,0.5761376254756898,241,0.05120074399024334,14.161451555920909,39.67605077052987,128,6,0.24348773534554594,1311,0.6201975341512912,78,2.0711747272175334,0.5449878038054469,1.6250412109816295,0.24500677735723786,2.048674155015981,0.44934571290198816,2.0711747215593705,COMPLETE
1,2.059323136414013,5.842892970704363,0.8253338026250707,86,0.01314887413732941,7.327236865873834,0.262108787826544,128,5,1.1748439548007035,791,0.6810531130891189,789,2.0593231367097005,0.5481574369389549,1.6008057000620113,0.2573062442091736,2.0319183312072036,0.4761294137650954,2.059323136414013,COMPLETE
2,2.069237186453952,6.092275383467413,0.9845344148835518,59,0.03447547342940499,1.9534422801276774,26.619018884890558,64,3,0.1449241238991687,1900,0.976998491764,72,2.0692371896438524,0.5416540648590952,1.6200261187731475,0.2497857422294697,2.042180001275469,0.4345533869552052,2.069237186453952,COMPLETE
3,2.081983263483501,19.391692555291172,0.7960196257044758,232,0.011379968084575523,15.502656467222291,0.35856126103453967,64,6,0.5917607170144196,392,0.7840306095300149,295,2.0819832643621203,0.5394204254468803,1.6337918371191729,0.23738441368739105,2.0589898259505817,0.436737174960323,2.081983263483501,COMPLETE
4,2.073724111264759,5.618690193747615,0.9229318791183683,89,0.005772889131255964,10.85392166316497,1.1756010900231848,512,4,0.9179114251639459,539,0.6721070642982532,538,2.0737241048815203,0.5396019250492644,1.6209345052297963,0.24595309303718793,2.0473898386189924,0.44716683320969997,2.073724111264759,COMPLETE
5,2.060520087637775,7.169314570885453,0.8970716560086756,89,0.005088522421306187,2.3173811905025943,0.16677615430197912,64,7,5.636004750527739,2385,0.8780532256184443,1694,2.0605200862580695,0.5406639376419257,1.6012610232461792,0.25748165187790295,2.0316783701859276,0.4524901259866071,2.060520087637775,COMPLETE
6,2.07848776617489,15.215700972337949,0.6038174106722358,115,0.05081368063396657,11.225543951389925,13.795402040204177,64,6,15.766436357943089,1139,0.7624967163228772,53,2.0784877580199073,0.5441941728308824,1.634469118747833,0.23934988315640426,2.05633482350963,0.4359080655407326,2.07848776617489,COMPLETE
7,2.088154634632271,8.207658460712594,0.9584049132667418,71,0.0055252116612059055,15.111022770860973,0.5595986878006082,256,6,0.600755675334899,368,0.7788568110241163,367,2.0881546363494525,0.5401443165365409,1.6395327996212419,0.2346614672851719,2.0626623992525848,0.44930307573230355,2.088154634632271,COMPLETE
8,2.078901386544821,16.14880310328125,0.95165154932049,212,0.03742837651092439,17.921825998469863,4.149795789891589,512,8,9.790236510178591,2811,0.6339565264987161,96,2.0789013824049323,0.5410933980429439,1.631427596654375,0.2398587299089503,2.0556469025283697,0.4362807438765772,2.078901386544821,COMPLETE
9,2.0783221766753646,18.858194078250385,0.6039394153001573,223,0.005111700652205239,6.464058640415105,1.030019660098677,512,5,1.0813783435909576,2509,0.6499485147118287,647,2.0783221755333434,0.5440346142975901,1.629856530975469,0.24021490838067583,2.055165240112511,0.4601239280191327,2.0783221766753646,COMPLETE
10,2.03068550336814,1.098619177075526,0.7356236079111146,162,0.10892712068522144,7.592084868404468,7.451617972708861,128,2,3.29525926545296,1637,0.5674263399825324,486,2.0306855018317527,0.5626532300048219,1.5764577215053626,0.2794808423284484,2.001354990122624,0.49265460002221456,2.03068550336814,COMPLETE
11,2.0303260279942803,0.08270847969018691,0.7477723869539963,158,0.11253457534736679,7.114734209749809,4.5085320623613265,128,2,3.3475431111370764,1261,0.5583982425764624,272,2.030326020541313,0.5693054713550686,1.5856502293762296,0.27589017569537777,2.0063356125965326,0.5037427387971497,2.0303260279942803,COMPLETE
12,2.022257723772135,0.03656398708956164,0.7134001295744093,168,0.11666850009301383,5.848509745900457,6.735722741019849,128,2,3.6530802879253264,1659,0.5545858147294871,487,2.022257718523406,0.5677322788080306,1.574884233836817,0.28488092566558665,1.9938410957296009,0.4985041169793725,2.022257723772135,COMPLETE
13,2.0711006272695367,0.36238139105965145,0.6946842771757766,172,0.11959462921574156,3.4122196020830375,97.78549865084385,128,2,4.456490450285476,1907,0.5562862121342621,35,2.0711006199950104,0.5385477520857997,1.6213518945222973,0.24510529177775697,2.0485404912125973,0.42892874318409796,2.0711006272695367,COMPLETE
14,2.0344982223657753,2.831684833047026,0.6930980454135163,152,0.07740170202737665,4.619117919932729,3.0053885395938233,128,3,2.306604902263533,1166,0.5537057364837458,486,2.034498223075228,0.5556721034889944,1.5762219309345618,0.27616747209108106,2.005951414724392,0.4830781079048974,2.0344982223657753,COMPLETE
15,2.0672022974299593,3.2532280032881973,0.7767037863210996,188,0.07360344494142475,0.17747433707155924,2.4102406825021774,256,3,22.14882069253622,1494,0.6068769912469633,346,2.0672022964097985,0.5410715214590255,1.6061922965872317,0.2519798487616457,2.039191494068039,0.45550626236474645,2.0672022974299593,COMPLETE
16,2.058534345315345,3.0472162735568227,0.6779370060416282,145,0.08615328790580119,9.386925355271924,10.07806949436322,128,2,7.633423143227519,883,0.6857007972488715,32,2.0585343470875683,0.5443906638077407,1.610889801109265,0.25652575550508616,2.0329857111758285,0.42998443546188736,2.058534345315345,COMPLETE
17,2.0260567786899313,0.5713953255606281,0.8530060170944955,128,0.05651288971368236,5.272664448051544,5.2142299867043835,128,4,2.2849648577284767,1898,0.7207572529816092,650,2.026056769411869,0.5599021198331307,1.5674766233593007,0.2827178572984168,1.9968542709940795,0.4851509682167383,2.0260567786899313,COMPLETE
18,2.0654812549800634,9.925475287971945,0.8639412355111691,123,0.02051053798501068,5.0342267523792765,20.31514247742627,128,4,1.928383446703816,2066,0.7333044738543815,938,2.0654812505638835,0.5469311779087667,1.609311690851811,0.2520756744088619,2.0390608738548157,0.47302819544039393,2.0654812549800634,COMPLETE
19,2.058680957345027,2.546876209550423,0.8455492866711174,197,0.05575131175819077,9.776515294464058,1.3962019325334376,256,4,11.471382615413463,2393,0.8399892120010597,702,2.058680955888246,0.5495209301842877,1.6039533699634392,0.25612195759508993,2.0335377168122513,0.475773375740745,2.058680957345027,COMPLETE
20,2.0689537236033817,4.753488631417921,0.6564267112358915,123,0.029201109740827548,12.316588639494007,65.48713341457658,128,3,0.39469562384867335,1672,0.9413877576721192,94,2.068953723530353,0.5470384424843368,1.6243674733249307,0.24782038184450583,2.044853233900277,0.4358320898831355,2.0689537236033817,COMPLETE
21,2.0414309103485815,0.5926160773325553,0.7479646397589927,143,0.09168400789930461,5.83229536378459,5.577403310717333,128,2,2.1371994879946987,2038,0.5929898918494672,276,2.041430901258046,0.5602667089010819,1.5942700433231964,0.267950278786537,2.0173054037941016,0.49766819706888793,2.0414309103485815,COMPLETE
22,2.0143729130582666,0.007213116994039204,0.7323267744974422,184,0.0752654402706512,8.14706739490104,2.0928203059430444,128,3,4.1235779334323555,1521,0.719255458216007,717,2.0143729097519816,0.5708192647558485,1.5630387826537715,0.2903145461624914,1.9862518465399472,0.5068716734776053,2.0143729130582666,COMPLETE
23,2.0166291069888493,2.0090827971842407,0.6392111411422547,185,0.06544323901160821,3.7523734131833337,1.703477986569441,128,4,5.974074258080212,1606,0.7284001649769506,650,2.0166291074929794,0.5632314753729487,1.5573554370873428,0.2894864435799467,1.9874103462220043,0.48405436423296533,2.0166291069888493,COMPLETE
24,2.0372911612294264,4.393642637506446,0.6161449648035938,181,0.06696574582945695,0.10731701403295757,0.7061184499173716,128,3,6.652880548914728,1545,0.8190994894170288,581,2.037291160603905,0.5561830514006217,1.5755924443832336,0.2748292830642184,2.007804814883203,0.48203536663845625,2.0372911612294264,COMPLETE
25,2.0711117906364853,2.468653901303265,0.6507543187564089,201,0.04028909442146468,8.513037593656588,2.141937477413983,128,5,23.927549046584705,935,0.7220948288596882,671,2.071111782066095,0.539348489739328,1.60587095684266,0.25039597838307714,2.0413492615359083,0.4519133716254761,2.0711117906364853,COMPLETE
26,2.02429060557177,1.949136774365231,0.7222882451609561,174,0.09569334333243712,3.4374723442224653,1.7480004513361087,128,3,4.269034498921937,1485,0.9022357315404901,849,2.024290607887638,0.5632744574000336,1.569405466666375,0.2841655447567988,1.994838132003005,0.48949069176118265,2.02429060557177,COMPLETE
27,2.0521790793506605,3.968572369555379,0.7894701567867421,210,0.06422804540896174,3.630527336832561,10.852409628090303,256,4,12.007065629540016,1715,0.8328371024807719,671,2.0521790780935265,0.5452041771569824,1.5859168069128466,0.2646001101581118,2.0219161552914615,0.45929173950090174,2.0521790793506605,COMPLETE
28,2.0323833286186592,1.5620451053548758,0.557287904853973,187,0.024573283308660283,1.969647938495179,0.10384264129855554,512,3,1.445018131963612,2196,0.7472514508545107,1320,2.0323833202893846,0.5651602541970832,1.5929617305916686,0.27510346531675356,2.0074252101368306,0.5044477506669847,2.0323833286186592,COMPLETE
29,2.0552850064990227,8.911659778160871,0.6346697073451371,166,0.04905270934558239,8.342330056809049,0.7712926810955814,128,2,3.5943561958833627,1274,0.6595815495154473,53,2.0552850028680325,0.5456098467788085,1.6075142296312088,0.25913759525304647,2.02941160990522,0.44169008496454715,2.0552850064990227,COMPLETE
30,2.080923515037053,11.332012543063167,0.7033954152926087,249,0.043087976764733624,13.286195053952778,3.493822626822007,128,5,7.584692674876346,1398,0.7974656002737979,88,2.0809235116618066,0.5400658710096659,1.6309255456425213,0.2390679738547905,2.056715843770813,0.45065545565553505,2.080923515037053,COMPLETE
31,2.0221700919932304,1.7356118202491313,0.7196835969804142,178,0.09228579045490588,3.7193571438870574,1.9057840467858682,128,3,4.964095401639369,1784,0.8878058945270806,580,2.022170090171796,0.5649200385773155,1.5683851758978078,0.28471185408434907,1.9940767781190585,0.4964108141918463,2.0221700919932304,COMPLETE
32,2.040297538421298,2.0216853454088413,0.6685532234036147,196,0.0854067902300007,6.186960586822776,1.8862793388914927,128,4,5.029428040999135,1755,0.8699643053457324,619,2.0402975327319237,0.5587311033939092,1.5883375837119833,0.26993309396193643,2.014571534858506,0.4855520373571588,2.040297538421298,COMPLETE
33,2.063585285395622,3.8083215816154223,0.7189309261343457,176,0.06540803161262959,4.158133157680429,0.4935747881533076,128,3,15.547399361713248,1818,0.9917507947334517,143,2.0635852779145782,0.5451550589142461,1.608982603905857,0.25427197201531915,2.036064797299909,0.46582003754813084,2.063585285395622,COMPLETE
34,2.025177561654317,0.017164290620573286,0.8136896331172415,217,0.10047595444300336,1.2529839821608229,6.9962163168203375,128,2,2.9355691367206043,1079,0.9047294232239252,761,2.025177558496682,0.5676300944920655,1.5845960713823184,0.280735335421505,1.999611955413604,0.4983564076744879,2.025177561654317,COMPLETE
35,2.0571758196264236,5.391855211435512,0.7535396128054326,235,0.07932080054249492,2.716345194301188,2.780139367837072,64,5,1.5058439462488866,2104,0.9533374316228123,921,2.05717581889944,0.544025883540291,1.6029048382413014,0.2597227996716457,2.02860993927745,0.4630632467183323,2.0571758196264236,COMPLETE
36,2.055850648393083,6.545360381498923,0.7715187529995888,145,0.11876047992491431,7.509815844968473,1.1093754905696964,128,4,0.12398997541120282,1378,0.6999982565349454,174,2.055850635947608,0.551456655843944,1.6001672526832358,0.25962636771817904,2.0287420630608852,0.4825606617798282,2.055850648393083,COMPLETE
