feature,gain,weight,cover
num__hs_stars,359.3708190917969,17.0,2476.721923828125
num__hs_rating,200.53619384765625,96.0,1666.46435546875
num__hs_national_rank,102.53573608398438,67.0,2010.578857421875
num__hs_position_rank,68.3543930053711,87.0,2302.610107421875
cat__hs_school_fin___MISSING__,42.283851623535156,15.0,2907.95703125
cat__hs_position_PG,25.03597068786621,10.0,2504.45458984375
cat__hs_school_fin_San Jose State,21.008180618286133,9.0,3152.954833984375
cat__hs_school_fin_Iowa,20.832420349121094,11.0,3198.5146484375
cat__hs_hometown_state_UT,20.340702056884766,11.0,2721.187255859375
num__hs_state_rank,19.194364547729492,65.0,2304.813720703125
cat__hs_position_C,19.06298065185547,17.0,2455.0576171875
cat__hs_school_fin_Murray State,18.964818954467773,15.0,3137.94677734375
cat__hs_school_fin_Houston Christian,18.95270538330078,10.0,3194.93115234375
cat__hs_school_fin_Duke,18.302045822143555,12.0,3178.5458984375
cat__hs_school_fin_West Virginia,18.138093948364258,13.0,3190.537841796875
cat__hs_hometown_state_CA,17.633010864257812,3.0,1743.7066650390625
cat__hs_school_fin_San Diego State,17.54184913635254,13.0,3141.30908203125
cat__hs_school_fin_Gonzaga,16.89133644104004,16.0,3190.7314453125
cat__hs_hometown_state_NC,16.68689727783203,1.0,341.3897399902344
cat__hs_school_fin_Michigan,16.402606964111328,15.0,3166.970947265625
cat__hs_school_fin_Houston,16.154129028320312,10.0,3211.395751953125
cat__hs_school_fin_Richmond,15.611050605773926,11.0,3131.787353515625
cat__hs_school_fin_Texas Tech,15.334906578063965,14.0,3088.75927734375
cat__hs_hometown_state_MS,14.964070320129395,7.0,2928.528076171875
cat__hs_position_PF,14.742151260375977,10.0,2154.87548828125
cat__hs_school_fin_Washington,14.580673217773438,1.0,3215.036376953125
cat__hs_school_fin_Kentucky,14.517351150512695,13.0,2893.019287109375
cat__hs_school_fin_Virginia,14.337157249450684,11.0,3200.381103515625
cat__hs_school_fin_East Carolina,14.159197807312012,4.0,2989.98876953125
cat__hs_position_SG,14.056153297424316,7.0,1251.5858154296875
cat__hs_school_fin_Wisconsin,14.041131973266602,10.0,3150.98291015625
num__hs_height_in,13.9313383102417,75.0,2214.732421875
cat__hs_hometown_state_TX,13.649918556213379,3.0,89.18852996826172
cat__hs_school_fin_Iowa State,13.647506713867188,13.0,3171.2509765625
cat__hs_hometown_state_OK,13.585896492004395,6.0,2802.995361328125
num__hs_year,13.400331497192383,72.0,1237.4544677734375
cat__hs_hometown_state_AZ,13.296457290649414,2.0,2132.948486328125
cat__hs_school_fin_Binghamton,13.228018760681152,8.0,3191.8076171875
num__hs_weight,13.042076110839844,90.0,2007.760986328125
cat__hs_school_fin_Ohio State,13.003689765930176,9.0,3222.485595703125
cat__hs_school_fin_Oregon,12.963248252868652,11.0,3111.901611328125
cat__hs_hometown_state_IA,12.805472373962402,7.0,3210.92822265625
cat__hs_hometown_state_GA,12.789955139160156,6.0,3085.400634765625
cat__hs_hometown_state_MN,12.756486892700195,5.0,2749.202880859375
cat__hs_hometown_state_AR,12.719098091125488,3.0,701.8956909179688
cat__hs_school_fin_Wichita State,12.553567886352539,10.0,3186.864501953125
cat__hs_school_fin_Syracuse,12.550762176513672,12.0,3105.438720703125
cat__hs_hometown_state_KY,12.385643005371094,7.0,3134.553955078125
cat__hs_school_fin_Kansas State,12.007368087768555,5.0,3194.1796875
cat__hs_hometown_state_SC,12.00326919555664,6.0,2792.299560546875
cat__hs_school_fin_Davidson,11.987035751342773,10.0,3203.30615234375
cat__hs_hometown_state_NJ,11.8068208694458,2.0,1042.20458984375
cat__hs_hometown_state_SW,11.78842830657959,7.0,3193.79638671875
cat__hs_school_fin_Louisville,11.699488639831543,12.0,3209.351806640625
cat__hs_hometown_state_NV,11.616021156311035,4.0,2874.4169921875
cat__hs_school_fin_Tennessee,11.548272132873535,9.0,3120.01513671875
cat__hs_school_fin_Oklahoma,11.526111602783203,9.0,3082.75634765625
cat__hs_hometown_state_IN,11.447473526000977,4.0,3190.087158203125
cat__hs_school_fin_New Hampshire,11.339303016662598,4.0,3204.348876953125
cat__hs_school_fin_William & Mary,11.270118713378906,6.0,3203.957763671875
cat__hs_hometown_state_MI,11.197234153747559,4.0,3196.259521484375
cat__hs_school_fin_The Citadel,11.188050270080566,6.0,3196.564208984375
cat__hs_school_fin_Appalachian State,11.176257133483887,3.0,2979.592041015625
cat__hs_school_fin_St. Bonaventure,11.081411361694336,10.0,3206.18310546875
cat__hs_hometown_state_FL,11.069284439086914,7.0,2352.912841796875
cat__hs_school_fin_Louisiana Tech,11.035143852233887,9.0,3180.30908203125
cat__hs_school_fin_Florida State,10.98943042755127,12.0,3078.344482421875
cat__hs_hometown_state_WV,10.885665893554688,5.0,3191.63623046875
cat__hs_school_fin_Texas,10.800186157226562,10.0,3181.805908203125
cat__hs_school_fin_Washington State,10.740880966186523,2.0,2698.51806640625
cat__hs_school_fin_Oklahoma State,10.46220874786377,7.0,3190.489990234375
cat__hs_position_SF,10.442556381225586,6.0,978.9784545898438
cat__hs_school_fin_UNLV,10.43315315246582,2.0,3221.677001953125
cat__hs_school_fin_Howard,10.403425216674805,5.0,3218.02490234375
cat__hs_school_fin_Auburn,10.400789260864258,2.0,1609.914794921875
cat__hs_hometown_state_OH,10.337440490722656,3.0,1416.8909912109375
cat__hs_school_fin_Virginia Tech,10.236384391784668,7.0,2865.18994140625
cat__hs_school_fin_Florida,10.222434043884277,7.0,3106.932861328125
cat__hs_school_fin_San Diego,10.192978858947754,6.0,3194.342041015625
cat__hs_school_fin_Arkansas,10.15276050567627,9.0,3213.006103515625
cat__hs_school_fin_Purdue,10.115331649780273,4.0,3216.8681640625
cat__hs_school_fin_Duquesne,9.997458457946777,7.0,3184.437744140625
cat__hs_school_fin_TCU,9.919586181640625,1.0,3209.436279296875
cat__hs_hometown_state_WI,9.914349555969238,4.0,2624.9296875
cat__hs_hometown_state_ME,9.901779174804688,5.0,3210.84033203125
cat__hs_school_fin_Belmont,9.889933586120605,6.0,3197.5087890625
cat__hs_school_fin_Cincinnati,9.875655174255371,7.0,3203.912109375
cat__hs_school_fin_Valparaiso,9.825855255126953,9.0,3180.7744140625
cat__hs_school_fin_Bradley,9.782806396484375,5.0,3223.85888671875
cat__hs_hometown_state_OR,9.769630432128906,6.0,3208.271728515625
cat__hs_hometown_state_MD,9.702141761779785,3.0,3191.912109375
cat__hs_school_fin_Pittsburgh,9.651885986328125,1.0,3236.282470703125
cat__hs_school_fin_Butler,9.629656791687012,10.0,3131.697998046875
cat__hs_school_fin_Towson,9.567522048950195,4.0,3199.533935546875
cat__hs_hometown_state_MA,9.516044616699219,5.0,3190.86181640625
cat__hs_school_fin_VCU,9.512530326843262,8.0,3150.8701171875
cat__hs_school_fin_Utah State,9.500237464904785,5.0,3225.48486328125
cat__hs_school_fin_St. John's,9.49693489074707,2.0,3197.0830078125
cat__hs_school_fin_Arizona,9.408134460449219,9.0,3188.11083984375
cat__hs_school_fin_Vermont,9.300175666809082,2.0,3208.18896484375
cat__hs_hometown_state_IL,9.282999992370605,4.0,1684.8922119140625
cat__hs_school_fin_Western Kentucky,9.281562805175781,3.0,3226.391357421875
cat__hs_school_fin_Colorado,9.264519691467285,5.0,3205.35009765625
