kmeans_cluster,rank,feature,mean_assignment_pull,median_assignment_pull,total_assignment_pull,player_count
0,1,bvt_eFG,3.4789796074367096,2.9662729294561223,24485.058477139562,7038
0,2,bvt_TS_per,3.408192297882202,2.9278319384633416,24031.163892367407,7051
0,3,bvt_twoP_per,3.06293822297523,2.585070027510435,16196.817323093017,5288
0,4,bvt_ORtg,2.999045935666542,2.626626857071436,23479.53063033336,7829
0,5,bvt_rimmade/(rimmade+rimmiss),2.7681574176760044,2.3675517654696177,12033.180294637592,4347
1,1,bvt_blk,2.3204448449435175,2.3109393189202825,816.7965854201182,352
1,2,bvt_mp,2.1105604255711294,1.982036998624895,13298.641241523686,6301
1,3,basic_dbpr,2.0280083982807016,1.8474862690095422,4534.626778555648,2236
1,4,bvt_ast,2.013696960746737,1.6228907699346016,8644.801052485744,4293
1,5,basic_box_dbpr,1.9293446937344585,1.7626001917948122,3661.896228708002,1898
2,1,bvt_TP_per,2.5012546907038518,1.9857296993102904,7686.355664532936,3073
2,2,bvt_3p/100?,2.3773791279575067,1.9429013429022093,5620.124258491546,2364
2,3,bvt_ast/tov,2.239618537852884,1.5405074258081801,5473.627706512449,2444
2,4,bvt_mp,1.9446090041353614,1.7346777416170238,6895.583528663991,3546
2,5,bvt_blk_per,1.912690007318346,1.966550918137429,4028.1251554124365,2106
3,1,bvt_blk,5.304980851980956,4.091574850173704,20705.34026528167,3903
3,2,bvt_oreb,4.439997458820309,3.807762225128205,21165.467886196413,4767
3,3,bvt_blk_per,3.867983832200998,3.14183128472204,7612.192181771564,1968
3,4,bvt_treb,3.4680994310806486,3.1044243874076374,15498.936357499419,4469
3,5,bvt_TPM,3.4529298380998648,3.551705720317902,11695.073361644241,3387
4,1,bvt_blk_per,3.39730835860367,2.7593759133557065,12814.647128653043,3772
4,2,bvt_eFG,2.8623611916590654,2.475306133638207,4422.348041113256,1545
4,3,bvt_ftr,2.851907731424482,2.265393882860455,9844.785488877313,3452
4,4,bvt_TP_per,2.7254821265041604,1.4977842518717752,15428.954318140051,5661
4,5,bvt_pfr,2.6734658140363394,2.286738504664394,12859.370565514793,4810
5,1,bvt_TPM,3.444210879564558,2.729489310123508,15874.367943913048,4609
5,2,bvt_oreb,3.406898276952396,3.498404954335392,7277.134719570318,2136
5,3,bvt_TPA,3.2210542856140503,2.538293315163437,13589.628031005677,4219
5,4,bvt_ast,3.1716664985526735,2.5332296970782906,10342.804451780268,3261
5,5,bvt_blk,3.107861143474336,3.187539485414872,7729.250663820674,2487
