feature,missing_rate
old_bvt_Rec Rank,0.7440555703980765
old_bvt_dunksmade/(dunksmade+dunksmiss),0.2989580550360673
old_bvt_midmade/(midmade+midmiss),0.005877638258081752
old_bvt_rimmade/(rimmade+rimmiss),0.0021373230029388193
old_basic_bpr,0.0
old_basic_poss,0.0
old_basic_box_obpr,0.0
old_basic_box_dbpr,0.0
old_basic_box_bpr,0.0
old_basic_adj_team_off_eff,0.0
old_basic_adj_team_def_eff,0.0
old_basic_adj_team_eff_margin,0.0
old_basic_plus_minus,0.0
old_advanced_position,0.0
old_advanced_role,0.0
old_bvt_GP,0.0
old_bvt_Min_per,0.0
old_bvt_ORtg,0.0
old_bvt_usg,0.0
old_bvt_eFG,0.0
old_bvt_TS_per,0.0
old_bvt_ORB_per,0.0
old_bvt_DRB_per,0.0
old_bvt_AST_per,0.0
old_bvt_TO_per,0.0
old_bvt_FTM,0.0
old_bvt_FTA,0.0
old_bvt_FT_per,0.0
old_bvt_twoPM,0.0
old_bvt_twoPA,0.0
old_bvt_twoP_per,0.0
old_bvt_TPM,0.0
old_bvt_TPA,0.0
old_bvt_TP_per,0.0
old_bvt_blk_per,0.0
old_bvt_stl_per,0.0
old_bvt_ftr,0.0
old_bvt_porpag,0.0
old_bvt_adjoe,0.0
old_bvt_pfr,0.0
old_basic_dbpr,0.0
old_bvt_ast/tov,0.0
old_bvt_rimmade,0.0
old_bvt_rimmade+rimmiss,0.0
old_bvt_midmade,0.0
old_bvt_midmade+midmiss,0.0
old_basic_obpr,0.0
old_rank,0.0
old_bvt_dunksmade,0.0
old_bvt_dunksmiss+dunksmade,0.0
old_year,0.0
old_bvt_drtg,0.0
old_bvt_adrtg,0.0
old_bvt_dporpag,0.0
old_bvt_stops,0.0
old_bvt_bpm,0.0
old_bvt_obpm,0.0
old_bvt_dbpm,0.0
old_bvt_gbpm,0.0
old_bvt_mp,0.0
old_bvt_ogbpm,0.0
old_bvt_dgbpm,0.0
old_bvt_oreb,0.0
old_bvt_dreb,0.0
old_bvt_treb,0.0
old_bvt_ast,0.0
old_bvt_stl,0.0
old_bvt_blk,0.0
old_bvt_pts,0.0
old_bvt_3p/100?,0.0
player_height_in,0.0
old_advanced_class,0.0
old_bvt_role,0.0
