number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
0,1.527494663264529,1.5599452033620265,64,7,1311,10.401663679887308,0.10260217747726169,1,244,1.5601864044243652,107,0.7863204404613955,1.2160323012717777,0.6180091724715222,1.527494663264529,0.7830070379129103,1.5308811284420505,COMPLETE
1,1.5131371133485965,5.247564316322379,128,4,2548,2.0492680115417348,0.009818447719078614,12,123,3.0424224295953772,1245,0.7907264747156115,1.2074320616946985,0.6251564014528923,1.5131371133485965,0.7857615652300878,1.5141413350833641,COMPLETE
2,1.5158923255426415,0.46450412719997725,254,4,1531,7.475992999956503,0.060628760975110135,39,212,5.924145688620425,331,0.7898909787279286,1.2073152029544327,0.6237900825475724,1.5158923255426415,0.7838066439031086,1.516822734502036,COMPLETE
3,1.522231017310317,4.951769101112702,64,7,1122,5.595074635794794,0.006819902315213207,13,154,1.2203823484477883,1118,0.7882291795140953,1.2141918181464504,0.6206372669761997,1.522231017310317,0.7832901779763485,1.5236962181227136,COMPLETE
4,1.5207344880939853,8.948273504276488,64,8,1776,20.74566765675251,0.008997217140167088,2,115,9.394989415641891,1718,0.7885745209421837,1.2106543983102822,0.6213828152356127,1.5207344880939853,0.782392795955007,1.5222178955694947,COMPLETE
5,1.5207093635847047,5.426960831582485,254,7,1349,4.037506188440754,0.011843743366810626,31,89,2.8093450968738076,1213,0.7884694234468114,1.2104952178104726,0.6213953256277513,1.5207093635847047,0.7832801352302077,1.5222712690930114,COMPLETE
6,1.518030777229698,0.7404465173409036,128,7,314,17.320535358459537,0.06675426755440242,14,62,7.712703466859457,232,0.7892117997701283,1.2091543919009768,0.6227279039571179,1.518030777229698,0.7821146137029548,1.5188395421660748,COMPLETE
7,1.5217358504936267,4.722149251619493,128,7,1139,12.111307195599325,0.0140537324396345,31,149,8.872127425763265,1125,0.7881603174075379,1.213079147628475,0.620884032785354,1.5217358504936267,0.7818775104595291,1.523013003680284,COMPLETE
8,1.520722813349945,6.364104112637804,128,3,1711,1.5251209898002924,0.01945659881967145,17,201,0.3142918568673425,469,0.7883545838498637,1.2131271359677658,0.6213886285341058,1.520722813349945,0.7850153147338527,1.5204632720305453,COMPLETE
9,1.5509912324932151,8.08120379564417,64,4,917,1.8789279685460507,0.006385847474975015,36,158,9.29697652342573,914,0.7823372313613389,1.2497642710891463,0.606166897129978,1.5509912324932151,0.7768239388558387,1.5514605181860637,COMPLETE
