name,bvt_pid,team,year,bvt_FT_per,bvt_TP_per,bvt_midmade/(midmade+midmiss),bvt_3p/100?,bvt_usg,bvt_ast,bvt_TO_per,bvt_ast/tov,bvt_ORB_per,bvt_DRB_per,bvt_blk,bvt_stl,bvt_drtg,bvt_stops,bvt_rimmade/(rimmade+rimmiss),bvt_dunksmade/(dunksmade+dunksmiss),bvt_player_height,player_height_in,spacing_percentile,facilitating_percentile,rim_protection_percentile,defense_percentile,finishing_percentile
Cameron Boozer,134971,Duke,2026,0.789,0.391,0.4231,6.49374,30.6,4.1316,14.7,1.63543521,12.5,22.1,0.6053,1.3947,91.738,279.747,0.6446,0.9535,6-9,81.0,70.03238078813139,82.93815121560246,89.20635807233863,68.78172588832487,64.5346681441212
Yaxel Lendeborg,78699,Michigan,2026,0.824,0.372,0.3774,8.35135,20.5,3.225,9.5,3.07142862,8.0,16.0,1.225,1.125,95.3438,261.919,0.729,0.9667,6-9,81.0,70.43210122300857,87.0491584290676,83.01814006539233,70.11755276516163,74.94289403549156
Jeremy Fears Jr.,77892,Michigan State,2026,0.885,0.321,0.4118,5.73876,27.1,9.3714,16.5,3.8587662,1.6,7.0,0.0286,1.2857,104.715,184.49,0.5784,1.0,6-2,74.0,64.95711281321837,85.38271440021373,10.801288442970211,53.43641464066257,63.76394296698991
Braden Smith,76196,Purdue,2026,0.825,0.362,0.4421,8.10746,26.5,8.8462,19.5,3.0531512,2.4,10.3,0.2051,1.6923,107.652,231.566,0.6049,,6-0,72.0,74.75758386002343,79.32807908095111,27.1433188953366,70.12089233235372,59.50468540829986
Ja'Kobi Gillespie,76218,Tennessee,2026,0.814,0.338,0.3469,14.0646,25.7,5.4324,15.3,2.36468898,1.9,7.2,0.2162,2.1351,103.028,226.665,0.5828,0.8,6-1,73.0,70.28343349222769,84.83836494790275,20.92627667550563,65.62917445899012,38.20991537287361
Joshua Jefferson,77391,Iowa State,2026,0.7,0.345,0.3871,5.90338,28.6,4.7714,16.7,1.87636156,7.2,21.8,0.8286,1.6286,91.8291,245.418,0.6067,0.9412,6-9,81.0,53.38852716776054,81.09804969275982,85.0485969181842,71.38658829815657,56.87714781891795
Bruce Thornton,76969,Ohio State,2026,0.829,0.4,0.5771,7.53339,23.2,3.9118,9.2,3.02279559,3.3,13.5,0.2353,1.1471,108.29,209.86,0.7551,,6-2,74.0,82.5087740598719,91.97168047021106,40.46666381032261,68.8919316056639,95.6091030789826
Zuby Ejiofor,77145,St. John's,2026,0.718,0.305,0.4216,3.00867,26.4,3.5405,15.1,1.67947442,12.1,14.7,2.1351,1.1622,95.959,236.442,0.6557,0.9722,6-9,81.0,47.55654073037026,80.39340101522843,86.31763245117914,71.6604328079081,67.08069319962777
Kingston Flemings,133884,Houston,2026,0.845,0.387,0.4433,5.58799,26.5,5.1892,13.1,2.90907047,1.8,12.9,0.3243,1.5135,95.8619,216.207,0.5723,0.8462,6-4,76.0,73.5257376970201,90.97648944696768,41.55344103844108,64.63064386855463,40.15468887746106
Patrick Ngongba,126923,Duke,2026,0.664,0.258,0.3889,2.64535,22.5,2.0,16.0,1.52380952,12.4,17.8,1.0625,0.5938,93.2794,146.186,0.7122,0.9333,6-11,83.0,36.0803204591597,69.08228693561315,92.05425834914232,54.71880844242586,71.11597814020308
Keaton Wagler,134560,Illinois,2026,0.796,0.397,0.3483,10.7068,25.7,4.2432,12.5,2.37874191,6.7,10.0,0.3784,0.9189,105.827,202.662,0.5753,0.0,6-6,78.0,72.02075873530617,89.66737910766764,55.010264893011595,66.49078279454983,24.798153487935483
Tyler Tanner,127726,Vanderbilt,2026,0.853,0.368,0.3805,7.69279,26.3,5.1111,12.2,2.7058606,1.5,10.8,0.3333,2.3889,104.237,236.116,0.6443,0.9444,6-0,72.0,70.61719904567178,91.97835960459524,29.167096613744295,70.73203312850654,63.77017980458419
Oscar Cluff,79380,Purdue,2026,0.699,0.0,0.4328,0.0,19.2,1.7692,10.3,2.22568872,17.5,20.5,0.9231,0.4872,105.68,179.811,0.7803,1.0,6-11,83.0,31.62288767214522,76.86013892599519,95.0698875236013,61.83542612877372,87.90048915172886
Aday Mara,78229,Michigan,2026,0.564,0.3,0.4105,0.597662,23.8,2.425,19.8,1.22784806,10.4,20.4,2.575,0.35,92.0801,227.432,0.8112,0.9205,7-3,87.0,34.00195369616942,61.74191824739514,95.38996723354629,55.34664707453914,74.0402463512587
AJ Dybantsa,134465,BYU,2026,0.774,0.331,0.4632,6.87575,33.5,3.7143,15.0,1.20371387,4.7,16.9,0.3429,1.0571,107.613,216.254,0.7228,0.8958,6-9,81.0,65.4993477747192,76.65976489446967,70.21757901810406,70.10419449639326,67.73278581806902
Tarris Reed Jr.,77482,Connecticut,2026,0.617,0.0,0.4423,0.254276,26.5,2.2857,15.6,1.23078998,14.2,24.5,1.9714,0.9143,91.8947,220.512,0.6891,0.95,6-10,82.0,28.97893500457326,70.8322201442693,96.49735762003431,67.84664707453913,70.36948352352499
Brayden Burries,133777,Arizona,2026,0.805,0.391,0.4495,8.60445,21.6,2.4359,12.7,1.66671221,2.1,14.5,0.2051,1.5128,96.1697,241.232,0.65,0.9444,6-4,76.0,77.82361976702117,77.53807106598984,41.80724814504006,60.880309911835425,64.85451715398177
Christian Anderson,127700,Texas Tech,2026,0.805,0.415,0.4271,12.1222,25.2,7.3939,20.2,2.23854071,1.8,8.5,0.2424,1.4545,109.54,197.002,0.7237,0.8,6-3,75.0,82.58063533520207,75.73136521506812,27.217407188819823,72.88271440021373,59.12022327113332
Flory Bidunga,128335,Kansas,2026,0.654,0.0,0.3889,0.10623,19.6,1.4857,14.6,0.96292698,11.2,18.4,2.6,0.7429,95.7552,247.194,0.75,0.9425,6-9,81.0,25.574042072838576,55.33328880577077,90.48207273971775,65.54568527918782,74.41914507623993
Silas Demary Jr.,78017,Connecticut,2026,0.801,0.385,0.3947,4.99442,22.5,5.8718,21.3,2.63214998,4.3,14.3,0.2564,1.5897,96.9886,213.146,0.531,0.75,6-4,76.0,64.8499783130068,72.72241517499333,50.082695647043806,62.797221480096184,25.970071852450452
Labaron Philon,127235,Alabama,2026,0.798,0.399,0.4455,10.7434,29.9,5.0,14.8,1.96425061,1.9,9.2,0.1818,1.1515,113.428,164.709,0.657,1.0,6-4,76.0,80.9883052862342,85.74338765695967,29.123571949475014,72.16470745391398,77.94064979429915
Morez Johnson Jr.,127577,Michigan,2026,0.782,0.343,0.3585,1.94813,21.1,1.2,14.0,0.90566038,12.8,18.9,1.1,0.675,94.8978,221.679,0.7289,0.9434,6-9,81.0,50.20164308500835,55.84090301896874,90.40526269429962,62.17606198236709,73.33842483756163
Bennett Stirtz,128048,Iowa,2026,0.848,0.358,0.4692,11.7454,26.1,4.4054,11.9,2.39710509,1.0,8.7,0.2432,1.3784,107.486,207.783,0.705,0.9167,6-4,76.0,83.06064808389439,90.90301896874165,27.40035527835559,69.69342773176595,68.83625457113004
Henri Veesaar,76607,North Carolina,2026,0.615,0.426,0.5349,5.60587,22.7,2.0645,13.7,1.23077388,8.1,21.9,1.1935,0.5806,100.882,201.513,0.7531,0.8923,7-0,84.0,64.10064800347911,70.11421319796953,91.43864329937948,61.71854127705049,69.28096532471349
Alex Condon,79312,Florida,2026,0.649,0.17,0.5476,2.82103,23.6,3.6176,18.7,1.48189412,8.2,17.4,1.4118,0.6765,98.6645,210.387,0.6601,0.9231,6-11,83.0,41.813837680197516,69.16911568260754,88.3439991987282,63.51188885920385,64.05290623877625
Thomas Haugh,79305,Florida,2026,0.774,0.326,0.325,8.68975,21.0,2.1471,11.8,1.43139998,7.0,12.3,0.9706,1.0588,100.573,211.808,0.6209,0.913,6-9,81.0,56.53547286296958,74.10499599251936,73.8744050934447,69.79695431472081,56.57864435383812
Pryce Sandfort,78950,Nebraska,2026,0.855,0.416,0.4,15.9003,21.0,2.0,5.9,2.91672743,2.3,14.2,0.2571,1.0286,99.8279,211.809,0.7312,0.75,6-7,79.0,85.70936643321588,85.19903820464869,51.5718453904327,59.380844242586164,56.907153512423676
Caleb Wilson,133811,North Carolina,2026,0.713,0.259,0.4444,2.08729,28.8,2.6667,12.6,1.36174227,10.5,22.2,1.375,1.5,96.6522,179.801,0.7233,0.8701,6-10,82.0,43.99157294637888,81.00788137857333,93.17448826390286,71.65375367352391,65.11093153100205
JT Toppin,78506,Texas Tech,2026,0.579,0.281,0.4819,3.86138,30.6,2.12,13.7,0.85483866,14.0,21.0,1.72,1.36,101.559,189.234,0.7062,0.9412,6-9,81.0,42.81601478003947,69.06224953246058,93.49436234698463,74.05824205183008,71.42868731021647
Graham Ike,72639,Gonzaga,2026,0.797,0.338,0.5169,4.17404,26.5,2.3548,12.4,1.30351511,7.9,20.2,0.8387,0.7419,93.5707,200.283,0.7035,0.9259,6-9,81.0,66.0355435135284,78.59003473149879,85.49275935473243,61.89553833823137,69.55804671939792
Darius Acuff Jr.,137661,Arkansas,2026,0.809,0.44,0.4011,9.03389,29.5,6.4444,11.6,2.97429278,1.6,8.3,0.3056,0.8333,115.022,176.388,0.5972,0.7,6-3,75.0,77.43630805452989,94.62329682073204,28.229296048023667,75.48757681004541,36.55816099764913
Richie Saunders,76396,BYU,2026,0.817,0.376,0.4595,12.2572,23.8,2.08,12.4,1.26829265,6.7,13.5,0.28,1.72,105.741,150.801,0.6939,0.75,6-5,77.0,83.167299733488,74.5424792946834,57.08996283687008,65.35199038204648,53.794703713226895
Dailyn Swain,78002,Texas,2026,0.813,0.348,0.4756,4.65433,25.5,3.5833,18.4,1.3437208,6.2,20.7,0.3056,1.6389,107.089,228.32,0.6429,0.9615,6-8,80.0,67.31322368806974,69.65001335826877,73.48901174907033,72.6456051295752,64.65604542152349
Milan Momcilovic,77713,Iowa State,2026,0.878,0.487,0.4592,14.364,18.1,1.027,8.8,1.22582946,0.8,11.5,0.2432,0.8108,100.296,182.754,0.7941,1.0,6-8,80.0,92.51800889206211,60.63986107400481,43.15238337610746,54.84905156291745,88.1615333284357
Emanuel Sharp,76775,Houston,2026,0.891,0.372,0.3874,14.8103,23.2,1.7297,8.8,1.77769783,3.0,8.6,0.0811,1.1892,99.0969,175.024,0.6667,1.0,6-3,75.0,82.03881232246265,81.53553299492387,24.251871522242208,51.359203847181405,79.31949852254547
Motiejus Krivas,79096,Arizona,2026,0.78,0.308,0.5377,0.734658,19.0,1.1026,15.8,0.81133187,14.4,19.8,1.8718,0.7179,92.5921,233.618,0.625,0.931,7-2,86.0,56.01239396761979,45.9591236975688,97.07104348305288,64.33342238845846,59.27160879289516
Trey Kaufman-Renn,74771,Purdue,2026,0.636,0.154,0.4932,0.769178,24.9,2.5405,12.3,1.80767031,13.2,23.7,0.2162,0.3784,107.553,180.083,0.7296,1.0,6-9,81.0,36.252400162467566,83.4958589366818,81.47526002264587,50.72802564787603,85.77197509550396
Tamin Lipsey,77122,Iowa State,2026,0.656,0.316,0.4356,7.22669,22.9,5.0882,12.4,3.32692567,5.2,9.8,0.0294,2.2647,95.3701,213.319,0.6212,1.0,6-1,73.0,53.6451389364061,88.99946566924926,25.367901040987864,52.027117285599786,72.05042221732458
