year,player_key,first_name,last_name,full_name,position,position_group,height,weight,stars,rating,transfer_rating,high_school_rating,transfer_rank,high_school_rank,position_rank,state_rank,eligibility_type,eligibility_years,status,institution_status,transfer_date,transfer_commit_date,source_school,source_institution_key,source_school_root_path,destination_school,destination_institution_key,destination_school_root_path,destination_transferred,destination_options_count,player_profile_url,avatar_url,last_update_date,source
2026,46131476,Flory,Bidunga,Flory Bidunga,C,Center,6-7,229,5.0,0.98,0.98,0.98,1.0,14.0,1.0,1.0,Immediate,3.0,Committed,T,2026-04-03T02:12:00Z,2026-04-12T17:50:00Z,Kansas,24022,/college/kansas,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/flory-bidunga-46131476/college-315768,https://s3media.247sports.com/Uploads/Assets/541/910/13910541.jpg,2026-04-12T17:50:49Z,247sports_api_transfers
2026,46109288,Milan,Momcilovic,Milan Momcilovic,PF,Forward,6-8,225,5.0,0.98,0.98,0.94,2.0,37.0,1.0,1.0,Immediate,,Committed,T,2026-04-12T17:02:00Z,2026-06-02T03:00:00Z,Iowa State,24021,/college/iowa-state,Kentucky,24101.0,/college/kentucky,True,1.0,https://247sports.com/player/milan-momcilovic-46109288/college-302708,https://s3media.247sports.com/Uploads/Assets/255/730/13730255.jpg,2026-06-02T03:46:26Z,247sports_api_transfers
2026,46125427,John,Blackwell,John Blackwell,SG,Guard,6-3,200,5.0,0.98,0.98,0.88,3.0,208.0,1.0,1.0,Immediate,2.0,Committed,T,2026-04-06T14:08:00Z,2026-04-21T20:29:00Z,Wisconsin,24049,/college/wisconsin,Duke,24009.0,/college/duke,True,1.0,https://247sports.com/player/john-blackwell-46125427/college-302919,https://s3media.247sports.com/Uploads/Assets/916/712/13712916.jpg,2026-04-21T20:29:39Z,247sports_api_transfers
2026,46134501,Tounde,Yessoufou,Tounde Yessoufou,SF,Forward,6-5,215,5.0,0.98,0.98,0.98,5.0,14.0,1.0,1.0,Immediate,,Committed,T,2026-04-22T00:53:00Z,2026-05-28T04:55:00Z,Baylor,24019,/college/baylor,St. John's,24309.0,/college/saint-johns,True,1.0,https://247sports.com/player/tounde-yessoufou-46134501/college-344648,https://s3media.247sports.com/Uploads/Assets/265/342/13342265.jpg,2026-05-28T10:36:36Z,247sports_api_transfers
2026,46159870,Massamba,Diop,Massamba Diop,C,Center,7-1,220,5.0,0.98,0.98,0.89,6.0,,2.0,1.0,Immediate,,Committed,T,2026-04-08T20:48:00Z,2026-04-28T23:53:00Z,Arizona State,24088,/college/arizona-state,Gonzaga,24317.0,/college/gonzaga,True,1.0,https://247sports.com/player/massamba-diop-46159870/college-345543,https://s3media.247sports.com/Uploads/Assets/772/703/13703772.jpeg,2026-04-28T23:54:06Z,247sports_api_transfers
2026,46102421,PJ,Haggerty,PJ Haggerty,PG,Guard,6-4,195,4.0,0.97,0.97,0.9,7.0,126.0,1.0,2.0,Immediate,2.0,Committed,T,2026-04-08T02:40:00Z,2026-04-11T00:00:00Z,Kansas State,24023,/college/kansas-state,Texas A&M,24029.0,/college/texas-am,True,1.0,https://247sports.com/player/pj-haggerty-46102421/college-345736,https://s3media.247sports.com/Uploads/Assets/10/346/13346010.jpg,2026-04-11T13:16:05Z,247sports_api_transfers
2026,46135186,Juke,Harris,Juke Harris,SF,Forward,6-7,200,4.0,0.97,0.97,0.91,8.0,101.0,2.0,1.0,Immediate,,Committed,T,2026-04-03T17:28:00Z,2026-05-04T15:00:00Z,Wake Forest,24018,/college/wake-forest,Tennessee,24106.0,/college/tennessee,True,1.0,https://247sports.com/player/juke-harris-46135186/college-321593,https://s3media.247sports.com/Uploads/Assets/788/827/13827788.jpg,2026-05-04T15:00:52Z,247sports_api_transfers
2026,46135657,David,Punch,David Punch,PF,Forward,6-7,245,4.0,0.96,0.96,0.88,9.0,128.0,3.0,2.0,Immediate,,Committed,T,2026-04-09T02:55:00Z,2026-04-13T01:27:00Z,TCU,24083,/college/tcu,Texas,24028.0,/college/texas,True,1.0,https://247sports.com/player/david-punch-46135657/college-323010,https://s3media.247sports.com/Uploads/Assets/687/720/12720687.jpg,2026-04-13T01:27:08Z,247sports_api_transfers
2026,46142509,Paulius,Murauskas,Paulius Murauskas,PF,Forward,6-8,235,4.0,0.96,0.96,0.9,10.0,107.0,4.0,2.0,Immediate,,Committed,T,2026-03-24T20:43:00Z,2026-04-21T21:23:00Z,Saint Mary's,24349,/college/saint-marys,Arizona State,24088.0,/college/arizona-state,True,1.0,https://247sports.com/player/paulius-murauskas-46142509/college-355375,https://s3media.247sports.com/Uploads/Assets/222/627/13627222.jpeg,2026-04-21T21:23:22Z,247sports_api_transfers
2026,46102695,Miles,Byrd,Miles Byrd,SF,Forward,6-7,190,4.0,0.96,0.96,0.95,11.0,57.0,3.0,3.0,Immediate,,Committed,T,2026-03-27T19:08:00Z,2026-04-09T20:40:00Z,San Diego State,24082,/college/san-diego-state,Providence,24308.0,/college/providence,True,1.0,https://247sports.com/player/miles-byrd-46102695/college-335759,https://s3media.247sports.com/Uploads/Assets/732/29/13029732.jpg,2026-04-09T20:40:28Z,247sports_api_transfers
