season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2024-25,2025,1,Cooper Flagg,Duke,7.40926,5.66122,13.07048,1892,7.57420204098042,4.2747574528214,11.8489594938018,130.066532561721,82.5304070669532,47.5361254947682,626,2319984,#FF9D23,#FFA739,#FF9D23,cooper flagg,7.40926,5.66122,13.07048,1892,7.57420204098042,4.2747574528214,11.8489594938018,130.066532561721,82.5304070669532,47.5361254947682,626,3.51388313333454,1.5490412350298,,2319984,#FF9D23,#FFA739,#FF9D23
2024-25,2025,2,Johni Broome,Auburn,6.82963,4.41402,11.24365,1862,6.4094502383924,4.20814219452472,10.6175924329171,131.208896102486,89.1810079855951,42.0278881168913,390,1608042,#FFA534,#FFBA64,#FFAB42,johni broome,6.82963,4.41402,11.24365,1862,6.4094502383924,4.20814219452472,10.6175924329171,131.208896102486,89.1810079855951,42.0278881168913,390,5.0,2.29054235282942,,1608042,#FFA534,#FFBA64,#FFAB42
2024-25,2025,3,Braden Smith,Purdue,7.0045,3.22932,10.23382,2198,6.786477775815,3.33701032888818,10.1234881047032,123.599813045302,95.8620361451548,27.7377769001472,218,1911492,#FFA32F,#FFCD8E,#FFB353,braden smith,7.0045,3.22932,10.23382,2198,6.786477775815,3.33701032888818,10.1234881047032,123.599813045302,95.8620361451548,27.7377769001472,218,1.0,1.0,,1911492,#FFA32F,#FFCD8E,#FFB353
2024-25,2025,4,Walter Clayton Jr.,Florida,6.86294,2.93615,9.79909,2267,6.63938558984749,2.47212532599461,9.1115109158421,128.623638682002,86.1964083867388,42.4272302952631,565,1711827,#FFA533,#FFD198,#FFB65A,walter clayton jr,6.86294,2.93615,9.79909,2267,6.63938558984749,2.47212532599461,9.1115109158421,128.623638682002,86.1964083867388,42.4272302952631,565,1.68577782235482,1.36543429108115,,1711827,#FFA533,#FFD198,#FFB65A
2024-25,2025,5,Kam Jones,Marquette,6.78524,2.72828,9.51352,1968,6.61110824167102,2.06813219184989,8.67924043352091,119.666759957313,87.6046580801635,32.0621018771498,374,1698635,#FFA635,#FFD49F,#FFB85F,kam jones,6.78524,2.72828,9.51352,1968,6.61110824167102,2.06813219184989,8.67924043352091,119.666759957313,87.6046580801635,32.0621018771498,374,1.48209078459504,1.0,,1698635,#FFA635,#FFD49F,#FFB85F
2024-25,2025,6,Dylan Cardwell,Auburn,4.56817,4.90619,9.47436,1322,3.7921699542654,3.66489570941385,7.45706566367926,128.717601370724,82.7343717950523,45.9832295756717,306,1612562,#FFC377,#FFB353,#FFB85F,dylan cardwell,4.56817,4.90619,9.47436,1322,3.7921699542654,3.66489570941385,7.45706566367926,128.717601370724,82.7343717950523,45.9832295756717,306,4.23760004974462,3.50696846057697,,1612562,#FFC377,#FFB353,#FFB85F
2024-25,2025,7,Thomas Haugh,Florida,6.20733,3.16222,9.36955,1720,5.84328477590894,2.57148787579774,8.41477265170667,131.92226076578,87.6130964571269,44.3091643086535,460,2106887,#FFAD47,#FFCE90,#FFB961,thomas haugh,6.20733,3.16222,9.36955,1720,5.84328477590894,2.57148787579774,8.41477265170667,131.92226076578,87.6130964571269,44.3091643086535,460,3.66954356610541,2.5956677594197,,2106887,#FFAD47,#FFCE90,#FFB961
2024-25,2025,8,Joseph Tugler,Houston,3.0423,6.29322,9.33552,1336,1.76892395720475,4.17494987442465,5.94387383162939,128.941940460412,76.8659478571547,52.0759926032572,455,2111602,#FFD7A4,#FF9D23,#FFB962,joseph tugler,3.0423,6.29322,9.33552,1336,1.76892395720475,4.17494987442465,5.94387383162939,128.941940460412,76.8659478571547,52.0759926032572,455,5.0,3.95261796331844,,2111602,#FFD7A4,#FF9D23,#FFB962
2024-25,2025,9,Zakai Zeigler,Tennessee,5.84249,3.4798,9.32229,2054,6.13644018588341,2.92425645302957,9.06069663891298,120.319691113943,85.5918817953288,34.727809318614,353,1685927,#FFB251,#FFC985,#FFB962,zakai zeigler,5.84249,3.4798,9.32229,2054,6.13644018588341,2.92425645302957,9.06069663891298,120.319691113943,85.5918817953288,34.727809318614,353,1.0,1.0,,1685927,#FFB251,#FFC985,#FFB962
2024-25,2025,10,Hunter Dickinson,Kansas,4.69253,4.36726,9.05979,1780,3.96320124214295,3.24110742566472,7.20430866780767,118.586238350537,87.1486737804774,31.4375645700598,242,1603842,#FFC173,#FFBB66,#FFBB66,hunter dickinson,4.69253,4.36726,9.05979,1780,3.96320124214295,3.24110742566472,7.20430866780767,118.586238350537,87.1486737804774,31.4375645700598,242,5.0,2.18690443922375,,1603842,#FFC173,#FFBB66,#FFBB66
